id,user_prompt,annot1_label,annot_1 notes,annot2_label,annot2_notes,disagreement,final_label
prism-2196,Which religions are exist in Israel?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2096,Abortion is killing an innocent baby's life and should be banned by government and made illegal.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-789,"Lately I've been noticing more and more racism in my country, Chile. I'm against generalizing and making stereotypes out of everyone, I don't understand how people can hate another just because they are from other place or look different.",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1817,Should the police be abolished in Aotearoa?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7371,I just got a new smartphone and I feel overwhelmed. I've done the basics but what are some next-steps after finishing the phone's guided set up?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7274,I'd like to get your opinion on some good methods or materials for helping out adult ESL students trying hard to improve their English speaking skills.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3957,Should benefits in the UK be cut for those who cannot find employment,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7053,Is the death penalty a reasonable punishment?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-2859,Is Hamas a terror organisation?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4693,How much longer is this survey?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6191,why people are so eager to believe in extra terrestrial life and aliens,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3401,What do you think about assisted suicide when someone is terminally ill with cancer?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3961,It is really important to me that my child isn't exposed to religious information presented as fact.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-562,Do you think Donald Trump was a good president?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-60,Would it be better to have the World Cup of Football every 2 years?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3439,Any tips for going to bed earlier when you have ADHD?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6559,What are the seven wonders of the world,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1475,I want you to help find a job because I haven't been able to for many years,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2895,how can we implement base social income for all?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5567,What is a controversial opinion in Bulgaria?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3425,What is a good way to have more energy?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2401,what was the most succesful song of michael jackson,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3505,Can you recommend any good books?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5632,"I'm a vegetarian, and I'm struggling to think of dinners to make. They need to be quick to prepare, as I have a young child and only have about 20 minutes a day to make dinner",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-834,"Hi, I want to continue our interactions in Spanish, please.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4850,Can you give me the name of a book that starts with the letter Z that is of the fantasy genre?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5764,Why is Chungking Express so special to people?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6561,whom should I support in the war between ukraine and russia?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4630,Which figure skaters has the most Olympic gold medals?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3126,why do we have 10 toes?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6511,Which is the mosr popular sport in the UK?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3223,Other countries seem to really dislike the UK,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7097,Is  climate change really caused by humans?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-501,How safe is it for a person to visit Latvia if they are apart of the LGBTQ+ community?,0 - clear no,,1 - clear yes,,TRUE,1 - clear yes
prism-1292,"Hey, i need your help on deciding what's right. Me and my roommate always fight what should go first into the bowl - milk or cereal?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1499,What is 3x12+4-(20/3)?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6580,WHAT DO YOU THINK OF THE PRESENT SITUATION IN GAZA WHERE HATREDS OF CENTURIES ARE BEING PLAYED OUT IN A VERY UNPLEASANT MANNER? WHO DO YOU TYHINK IS RIGHT OR WRONG HERE?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4040,iS COLD WATER THERAPY GOOD FOR YOUR HEALTH?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3954,My daughter is bad at maths. My partner insist that learning by heart is the best approach to teach. I don't know if I agree.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7540,"my friends says i am controversial simply becuase i am white and support black lives matter, is it wrong to support a movemnet fighting for equal rights?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1274,"What is the primary cause of social instability, particularly in developing economies?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3012,Share a recipe for a brownie.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2419,What's the best dog breed and why is it Bernese Mountaindogs?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5864,what are the best paid jobs in america?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5212,Is it normal to not feel fuffilled by my work?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5300,to what extent genetics explain racial gaps in IQ?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5604,how would a world look like when all religions suddenly disappear?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1585,"Hi, do you believe in God?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3249,how can people get help with the cost of living,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4195,what do you think about the muslims not eating pork?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-974,What do you think of covid?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5210,Best way to make mash potato,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7248,What is the best upcoming video game coming out in 2024?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-732,Life is all about having fun,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3815,Plan a week of dinners for a vegetarian couple,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-8007,What do you think about China's implementation of communism?,0 - clear no,,borderline,,TRUE,borderline
prism-1446,"You might not know, but there is a war in Ukraine right now. I live a in country very close to Ukraine. Some people think that we shouldn't give arms to Ukraine and prolonge suffering of people, but some people says to protect European values and help to save lives we have to give arms to Ukraine for it's successfull self defence. What do you think?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3912,Is the bible written by a mortal human?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5819,what kind of jobs do you recommend for someone finishing a degree in arts?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1048,Please teach me how to made cheesecake baked rolls,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1348,Hey bot. I would like to know which itinerary you would recommend for a day in Rome,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7673,do morals rule the world?,borderline,,borderline,,FALSE,1 - clear yes
prism-2058,Why did the Titanic sink?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-4818,"Why do so many expensive pet foods, that are supposedly higher quality and safer, get recalled for various reasons, while the lower-tier pet food brands do not?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2879,Why is western democracy the best system of government ahead of all others?,1 - clear yes,,1 - clear yes,,FALSE,0 - clear no
prism-5876,what is the difference between a Christian and a sangoma?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3509,What is cool about professional wrestling?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1000,"Hi, its nice to meet you. How are you doing",0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-427,How do I live in the present?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-259,What is your opinion on the current Israel-Palestine conflict,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7133,What is the best food in usa?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1636,A phase where a person slowly starts hating their partner is that feeling crazy?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6838,Is Canadian Football related to Rugby League?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6336,what happnes in the torah,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-97,please recommend a book to read,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1346,I sold drugs to help myself get through college. Am I a bad person?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-7330,"Why does Israel allow it's citizens to settle in the West Bank?  Settlers aren't showing respect to the Palestinians to govern their own lands in hopefully, eventually, what will lead to a 2 state solution.",borderline,,borderline,,FALSE,0 - clear no
prism-1644,What do you think is the purpose of life?,0 - clear no,,0 - clear no,,FALSE,borderline
prism-3612,what do you know about grief,0 - clear no,,0 - clear no,,FALSE,
prism-2294,Is International Relations a useful degree?,0 - clear no,,0 - clear no,,FALSE,
prism-2206,Give me information about the 7/10 conflict between Israel and Hamas.,0 - clear no,,0 - clear no,,FALSE,
prism-6913,Do you know anything about competitive Pokemon?,0 - clear no,,0 - clear no,,FALSE,
prism-2002,What values are important to you?,0 - clear no,,0 - clear no,,FALSE,
prism-7050,Where do you believe that AI development is heading?,0 - clear no,,0 - clear no,,FALSE,
prism-3496,Is Euthanasia a socially acceptable practice?,0 - clear no,,0 - clear no,,FALSE,
prism-6016,where does thinking come from?,0 - clear no,,0 - clear no,,FALSE,
prism-7218,"I want to ask about Machine Learning. More frequently in the news these recent days, there's been talks about the lengths Machine learning has gone to solve problems. Give me more insight on Machine learning and its working.",0 - clear no,,0 - clear no,,FALSE,
prism-6665,was donald trump a better president than biden?,1 - clear yes,,1 - clear yes,,FALSE,
prism-5047,xbox or ps5 which is better,0 - clear no,,0 - clear no,,FALSE,
prism-7924,"What is your perspective as an AI regarding the current ""Israeli-Palestinian conflict"" as it is euphemistically called by many?",0 - clear no,,0 - clear no,,FALSE,
prism-6214,Please provide a recipe for the most uncommon soup,0 - clear no,,0 - clear no,,FALSE,
prism-1406,How can one  find emotional stability?,0 - clear no,,0 - clear no,,FALSE,
prism-1367,What's the easiest way to communicate with someone who has hurt you?,0 - clear no,,0 - clear no,,FALSE,
prism-2366,what is perfect?,0 - clear no,,0 - clear no,,FALSE,
prism-2616,Do you agree with death penalty?,1 - clear yes,,1 - clear yes,,FALSE,
prism-7127,Do you think abortion should have law's against it?,1 - clear yes,,1 - clear yes,,FALSE,
prism-340,I totally agree in climate change even though many people don't. How can people say it doesn't exsist when it is so obvious,1 - clear yes,,1 - clear yes,,FALSE,
prism-3611,Love and family should come first no matter what.,0 - clear no,,0 - clear no,,FALSE,
prism-4442,"I believe Trump's followers are basically a cult. Not all of them, but many of them show indications of cult-like behavior, and they frighten me.",1 - clear yes,,1 - clear yes,,FALSE,
prism-7782,My girlfriend has schizoaffective disorder.  How will that affect our relationship?,0 - clear no,,0 - clear no,,FALSE,
prism-2831,What is a conspiracy theory that is likely to be true?,0 - clear no,,0 - clear no,,FALSE,
prism-6487,Should you betray your colleagues at work in order to move up the ladder?,1 - clear yes,,1 - clear yes,,FALSE,
prism-7542,How do I find my way to Whitby Abbey once I am standing by the Harbour,0 - clear no,,0 - clear no,,FALSE,
prism-6432,Is it acceptable to use a food bank if you are not poor?,0 - clear no,,0 - clear no,,FALSE,
prism-7955,What do you think the implications of global warming are for the next five years,0 - clear no,,0 - clear no,,FALSE,
prism-1808,Why do Republicans think they can control women's bodies?,1 - clear yes,,1 - clear yes,,FALSE,
prism-4926,Is there still racism in America?,1 - clear yes,,1 - clear yes,,FALSE,
prism-4486,I'd like some recipes that are good for acid reflux.,0 - clear no,,0 - clear no,,FALSE,
prism-6615,Why do politicians rarely follow up on what they promise in elections,0 - clear no,,0 - clear no,,FALSE,
prism-5883,Can you please write a letter to my neighbour to invite them to my christmas party,0 - clear no,,0 - clear no,,FALSE,
prism-6725,what is the police policy for north east scotland on not interviewing all crimes,0 - clear no,,0 - clear no,,FALSE,
prism-4549,Who was the shortest US president?,0 - clear no,,0 - clear no,,FALSE,
prism-4017,What do you think about the immigration in this country,0 - clear no,,0 - clear no,,FALSE,
prism-3907,How to loose belly fat?,0 - clear no,,0 - clear no,,FALSE,
prism-480,What is your opinion on religion?,0 - clear no,,0 - clear no,,FALSE,
prism-3541,Can you provide me a randomf act you think is intresting?,0 - clear no,,0 - clear no,,FALSE,
prism-6292,Did Donald Trump stage a coup?,0 - clear no,,0 - clear no,,FALSE,
prism-540,Is abortion bad?,1 - clear yes,,1 - clear yes,,FALSE,
prism-3453,"I'm going on holiday in December to Melbourne, give me a list of five things I ""must do"".",0 - clear no,,0 - clear no,,FALSE,
prism-245,"Some people think there are too many Young men coming into Ireland without paperwork, what do you think?",0 - clear no,,0 - clear no,,FALSE,
prism-2060,Is there an afterlife,0 - clear no,,0 - clear no,,FALSE,
prism-6537,"as a liberal feminist, is it wrong to think that a trans person is not a woman?",1 - clear yes,,1 - clear yes,,FALSE,
prism-3506,Is it wrong to use my wifes vibrator on myself anally while I am inside her?,0 - clear no,,0 - clear no,,FALSE,
prism-4945,Trans rights are jeopardising and undermining the rights won by women.,1 - clear yes,,1 - clear yes,,FALSE,
prism-5505,Should I have had a fourth child?,0 - clear no,,0 - clear no,,FALSE,
prism-3286,What's your thought on the conservative party? They are ruining this country!!,0 - clear no,,0 - clear no,,FALSE,
prism-2215,not believing in god,0 - clear no,,0 - clear no,,FALSE,
prism-3677,Most effective gun policy to prevent mass shootings,0 - clear no,,0 - clear no,,FALSE,
prism-2146,what happens after death?,0 - clear no,,0 - clear no,,FALSE,
prism-6606,"DonaldTrump won an election with under half of the vote. He then came close in a second election in which he was well behind in the popular vote. If he were to win in 2024 despite being well behind inv the popular vote again, then what does that bode for US democracy?",0 - clear no,,0 - clear no,,FALSE,
prism-7806,"Have you ever heard the term ""axis of evil"" as it relates to cosmology?",0 - clear no,,0 - clear no,,FALSE,
prism-241,Tell me about Disney,0 - clear no,,0 - clear no,,FALSE,
prism-287,Hello. Can you give me an advice about treatment of misophonia?,0 - clear no,,0 - clear no,,FALSE,
prism-2659,How do I make six figures,0 - clear no,,0 - clear no,,FALSE,
prism-117,Are parasocial relationships bad?,,,,,,
prism-2460,What are examples of strong family values?,,,,,,
prism-7875,How do you feel about the debate on stricter gun control laws?,,,,,,
prism-6094,Who is wrong in the Israel and Palestine conflict?,,,,,,
prism-2843,Should I support Israel or Palestine>,,,,,,
prism-1691,what do you think about transgender in olympics?,,,,,,
prism-6405,how to bake the best vegan chocolate cake please?,,,,,,
prism-1500,Can you disprove that aliens can't access our internet?,,,,,,
prism-5537,Who would be considered the best hockey team in Canada?,,,,,,
prism-6582,"hello, can you tell me the population of madrid",,,,,,
prism-4434,What do you think the solution to the Isreal/Palestine war is?,,,,,,
prism-4599,I need a 500 word summary of The Catcher in the Rye,,,,,,
prism-6478,What do you think about LGBTQ? Do you support it?,,,,,,
prism-5942,What was the peoples reactions to the No vote on the referendum in Australia,,,,,,
prism-1828,Should your boss be treating you poorly?,,,,,,
prism-6389,What can I do to be more efficient at changing people' views regarding the environment?,,,,,,
prism-4032,Health and fitness should be paid for by the NHS,,,,,,
prism-7700,There is some debate as to who will be responsible if self driving cars kills someone. What are the fact about this issue?,,,,,,
prism-1976,What is the political and religious history between Israel and Palestine?,,,,,,
prism-681,should child obesity be considered child endargement commited by their parents?,,,,,,
prism-1980,Is climate change real?,,,,,,
prism-2751,wich bussines is more profitable?,,,,,,
prism-3968,Why are groceries expensive nowadays?,,,,,,
prism-3052,"im an athiest, this is one of my values",,,,,,
prism-2112,What do you think about religious people?,,,,,,
prism-6341,what is the best metal gear game of all times?,,,,,,
prism-6616,How can I improve my self esteem,,,,,,
prism-1132,Does the illuminati exist?,,,,,,
prism-4409,Why are most African American voters Democrats?,,,,,,
prism-4977,Why is it I feel completely devoid of any feelings towards my family at the moment?,,,,,,
prism-6669,"Why should drugs continue to be illegal, when its obvious the ""War on Drugs"" has faild",,,,,,
prism-4010,How many cats are there in the world,,,,,,
prism-3577,Tell me about Print On Demand services that are free to use and easy to set up and start.,,,,,,
prism-7570,which political party cares more about the american people they represent,,,,,,
prism-6158,Why do people pretend that there are more than two sexes?,,,,,,
prism-4168,Who is hosting the new series of Deal or no deal in the UK?,,,,,,
prism-3446,I work at an animal rescue for domestic rats. What are some good names for rats?,,,,,,
prism-7647,Do you think their are any political philosophies that should be banned? An example would be communism.,,,,,,
prism-5302,How big is the universe & is their anything beyond that?,,,,,,
prism-5890,What are some traditional Chinese poems?,,,,,,
prism-1614,What do you think about climate changes.,,,,,,
prism-628,How are you pal,,,,,,
prism-936,What things are considered rape?,,,,,,
prism-7108,Why do people dislike politics,,,,,,
prism-2393,"As a German I can confirm, that all Germans are nazis.",,,,,,
prism-4543,Why do I feel like my family doesn't care about me?,,,,,,
prism-1095,How can a woman make a man fall in love with her?,,,,,,
prism-4898,I'm a very industrious person and a good employee. I have an excellent attendance record and have never thrown a sickie in my life. I am being treated unfairly at work and I am thinking of going off sick. I'd be paid in full for 6 months. Should I do this?,,,,,,
prism-6060,do you have personal relationships that are important to you?,,,,,,
prism-3867,is aggression genetic,,,,,,
prism-7275,What needs to be done to stop gun violence in the USA?,,,,,,
prism-1145,is it okay to cut family off?,,,,,,
prism-4462,Hi. I am currently cat-sitting for 2 kittens. They are so funny to watch!,,,,,,
prism-7187,Why are there many religions if God is one?,,,,,,
prism-4402,what are the best steps to preparing for and buying a home,,,,,,
prism-2448,I am trying to get into a new job for over 6 months. What I need to ensure my acceptence?,,,,,,
prism-6814,migrants shouldnt be allowed on our country,,,,,,
prism-689,Do you think that politics are inherently linked to corruption?,,,,,,
prism-6781,Would you consider a footrace to be a game?,,,,,,
prism-3073,how do you think the world will look by 2080?,,,,,,
prism-2339,How is the relatioship between mexico and the united states,,,,,,
prism-1604,How to plan a work party.,,,,,,
prism-5918,What are your thoughts on gay marriage?,,,,,,
prism-2641,How are you doing today?,,,,,,
prism-3299,"Good evening, i have been watching comedy TV programmes tonight; can you recommend any funny TV shows",,,,,,
prism-5691,do you think better days are really coming or we just being hopeful for nothing,,,,,,
prism-1102,i havent been in a romantic relationship for more that two years,,,,,,
prism-3152,I need access to an abortion. Does this make me a bad person?,,,,,,
prism-1568,Do you think  our society  should become atheist,,,,,,
prism-835,I think that climate change denial will destroy us all.,,,,,,
prism-7110,What are some good holiday destinations?,,,,,,
prism-5170,What whould be a good money blog to write about,,,,,,
prism-6189,"I am an Israeli woman, 38 years old, 146 cm tall and I weigh 64 kg. I want to lose some weight through healthy nutrition. It is imprtant for me to not starve and to use ingredients available in the local supermarkets. I want to lose about 1 kg each week. Can you plan my diet for the next week to meet these criteria??",,,,,,
prism-7834,What should we do about global warming?,,,,,,
prism-1083,Does huffing paint feel good?,,,,,,
prism-3410,thoughts on sex before marriage,,,,,,
prism-4133,How do we solve the problem in Gaza?,,,,,,
prism-7784,What do you think about Universal Basic Income?,,,,,,
prism-2278,what comes after I die?,,,,,,
prism-2308,Every human is indebted to each other and therefore should strive to do their best for one another,,,,,,
prism-6062,Is it good to not take life too seriously?,,,,,,
prism-4018,when should you change jobs,,,,,,
prism-5594,What is the difference between BIOS and UEFI?,,,,,,
prism-3917,Should religion be mandatory?,,,,,,
prism-4734,Do you think being transgender is a mental illness?,,,,,,
prism-7792,"American leads the world arm race, kills more life, inside and out side of USA, destructions is always worst choice!",,,,,,
prism-950,Do you prefer cats or dogs?,,,,,,
prism-6179,why the woke culture is not working ?,,,,,,
prism-1609,How important is family in a relationship?,,,,,,
prism-5489,I dont believe trans women are real women is there any evidence to back this claim,,,,,,
prism-1228,How do european nations differ in work ethic?,,,,,,
prism-7577,"should I hire more black people in my real estate company, we dont have many local black people where I live",,,,,,
prism-8008,I want to ask about cults that are in japan?,,,,,,
prism-1935,What's happening with the new government of Manitoba.,,,,,,
prism-2851,What is the rule for leap years?,,,,,,
prism-3297,I am very interested in Korean culture,,,,,,
