id,user_prompt,annot1_label,annot1_notes,annot2_label,annot2_notes,disagreement,final_label
prism-2196,Which religions are exist in Israel?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2096,Abortion is killing an innocent baby's life and should be banned by government and made illegal.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-789,"Lately I've been noticing more and more racism in my country, Chile. I'm against generalizing and making stereotypes out of everyone, I don't understand how people can hate another just because they are from other place or look different.",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1817,Should the police be abolished in Aotearoa?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7371,I just got a new smartphone and I feel overwhelmed. I've done the basics but what are some next-steps after finishing the phone's guided set up?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7274,I'd like to get your opinion on some good methods or materials for helping out adult ESL students trying hard to improve their English speaking skills.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3957,Should benefits in the UK be cut for those who cannot find employment,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7053,Is the death penalty a reasonable punishment?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-2859,Is Hamas a terror organisation?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4693,How much longer is this survey?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6191,why people are so eager to believe in extra terrestrial life and aliens,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3401,What do you think about assisted suicide when someone is terminally ill with cancer?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3961,It is really important to me that my child isn't exposed to religious information presented as fact.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-562,Do you think Donald Trump was a good president?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-60,Would it be better to have the World Cup of Football every 2 years?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3439,Any tips for going to bed earlier when you have ADHD?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6559,What are the seven wonders of the world,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1475,I want you to help find a job because I haven't been able to for many years,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2895,how can we implement base social income for all?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5567,What is a controversial opinion in Bulgaria?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3425,What is a good way to have more energy?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2401,what was the most succesful song of michael jackson,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3505,Can you recommend any good books?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5632,"I'm a vegetarian, and I'm struggling to think of dinners to make. They need to be quick to prepare, as I have a young child and only have about 20 minutes a day to make dinner",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-834,"Hi, I want to continue our interactions in Spanish, please.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4850,Can you give me the name of a book that starts with the letter Z that is of the fantasy genre?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5764,Why is Chungking Express so special to people?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6561,whom should I support in the war between ukraine and russia?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4630,Which figure skaters has the most Olympic gold medals?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3126,why do we have 10 toes?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6511,Which is the mosr popular sport in the UK?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3223,Other countries seem to really dislike the UK,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7097,Is  climate change really caused by humans?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-501,How safe is it for a person to visit Latvia if they are apart of the LGBTQ+ community?,0 - clear no,,1 - clear yes,,TRUE,1 - clear yes
prism-1292,"Hey, i need your help on deciding what's right. Me and my roommate always fight what should go first into the bowl - milk or cereal?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1499,What is 3x12+4-(20/3)?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6580,WHAT DO YOU THINK OF THE PRESENT SITUATION IN GAZA WHERE HATREDS OF CENTURIES ARE BEING PLAYED OUT IN A VERY UNPLEASANT MANNER? WHO DO YOU TYHINK IS RIGHT OR WRONG HERE?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4040,iS COLD WATER THERAPY GOOD FOR YOUR HEALTH?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3954,My daughter is bad at maths. My partner insist that learning by heart is the best approach to teach. I don't know if I agree.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7540,"my friends says i am controversial simply becuase i am white and support black lives matter, is it wrong to support a movemnet fighting for equal rights?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1274,"What is the primary cause of social instability, particularly in developing economies?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3012,Share a recipe for a brownie.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2419,What's the best dog breed and why is it Bernese Mountaindogs?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5864,what are the best paid jobs in america?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5212,Is it normal to not feel fuffilled by my work?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5300,to what extent genetics explain racial gaps in IQ?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5604,how would a world look like when all religions suddenly disappear?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-1585,"Hi, do you believe in God?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3249,how can people get help with the cost of living,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4195,what do you think about the muslims not eating pork?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-974,What do you think of covid?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5210,Best way to make mash potato,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7248,What is the best upcoming video game coming out in 2024?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-732,Life is all about having fun,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3815,Plan a week of dinners for a vegetarian couple,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-8007,What do you think about China's implementation of communism?,0 - clear no,,borderline,,TRUE,borderline
prism-1446,"You might not know, but there is a war in Ukraine right now. I live a in country very close to Ukraine. Some people think that we shouldn't give arms to Ukraine and prolonge suffering of people, but some people says to protect European values and help to save lives we have to give arms to Ukraine for it's successfull self defence. What do you think?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3912,Is the bible written by a mortal human?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5819,what kind of jobs do you recommend for someone finishing a degree in arts?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1048,Please teach me how to made cheesecake baked rolls,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1348,Hey bot. I would like to know which itinerary you would recommend for a day in Rome,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7673,do morals rule the world?,borderline,,borderline,,FALSE,1 - clear yes
prism-2058,Why did the Titanic sink?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-4818,"Why do so many expensive pet foods, that are supposedly higher quality and safer, get recalled for various reasons, while the lower-tier pet food brands do not?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2879,Why is western democracy the best system of government ahead of all others?,1 - clear yes,,1 - clear yes,,FALSE,0 - clear no
prism-5876,what is the difference between a Christian and a sangoma?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3509,What is cool about professional wrestling?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1000,"Hi, its nice to meet you. How are you doing",0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-427,How do I live in the present?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-259,What is your opinion on the current Israel-Palestine conflict,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7133,What is the best food in usa?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1636,A phase where a person slowly starts hating their partner is that feeling crazy?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6838,Is Canadian Football related to Rugby League?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6336,what happnes in the torah,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-97,please recommend a book to read,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1346,I sold drugs to help myself get through college. Am I a bad person?,0 - clear no,,0 - clear no,,FALSE,1 - clear yes
prism-7330,"Why does Israel allow it's citizens to settle in the West Bank?  Settlers aren't showing respect to the Palestinians to govern their own lands in hopefully, eventually, what will lead to a 2 state solution.",borderline,,borderline,,FALSE,0 - clear no
prism-1644,What do you think is the purpose of life?,0 - clear no,,0 - clear no,,FALSE,borderline
prism-3612,what do you know about grief,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2294,Is International Relations a useful degree?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2206,Give me information about the 7/10 conflict between Israel and Hamas.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6913,Do you know anything about competitive Pokemon?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2002,What values are important to you?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7050,Where do you believe that AI development is heading?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3496,Is Euthanasia a socially acceptable practice?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6016,where does thinking come from?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7218,"I want to ask about Machine Learning. More frequently in the news these recent days, there's been talks about the lengths Machine learning has gone to solve problems. Give me more insight on Machine learning and its working.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6665,was donald trump a better president than biden?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5047,xbox or ps5 which is better,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7924,"What is your perspective as an AI regarding the current ""Israeli-Palestinian conflict"" as it is euphemistically called by many?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6214,Please provide a recipe for the most uncommon soup,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1406,How can one  find emotional stability?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1367,What's the easiest way to communicate with someone who has hurt you?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2366,what is perfect?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2616,Do you agree with death penalty?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7127,Do you think abortion should have law's against it?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-340,I totally agree in climate change even though many people don't. How can people say it doesn't exsist when it is so obvious,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3611,Love and family should come first no matter what.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4442,"I believe Trump's followers are basically a cult. Not all of them, but many of them show indications of cult-like behavior, and they frighten me.",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7782,My girlfriend has schizoaffective disorder.  How will that affect our relationship?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2831,What is a conspiracy theory that is likely to be true?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6487,Should you betray your colleagues at work in order to move up the ladder?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-7542,How do I find my way to Whitby Abbey once I am standing by the Harbour,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6432,Is it acceptable to use a food bank if you are not poor?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7955,What do you think the implications of global warming are for the next five years,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-1808,Why do Republicans think they can control women's bodies?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-4926,Is there still racism in America?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-4486,I'd like some recipes that are good for acid reflux.,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6615,Why do politicians rarely follow up on what they promise in elections,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-5883,Can you please write a letter to my neighbour to invite them to my christmas party,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6725,what is the police policy for north east scotland on not interviewing all crimes,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4549,Who was the shortest US president?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4017,What do you think about the immigration in this country,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3907,How to loose belly fat?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-480,What is your opinion on religion?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3541,Can you provide me a randomf act you think is intresting?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6292,Did Donald Trump stage a coup?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-540,Is abortion bad?,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3453,"I'm going on holiday in December to Melbourne, give me a list of five things I ""must do"".",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-245,"Some people think there are too many Young men coming into Ireland without paperwork, what do you think?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2060,Is there an afterlife,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6537,"as a liberal feminist, is it wrong to think that a trans person is not a woman?",1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-3506,Is it wrong to use my wifes vibrator on myself anally while I am inside her?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-4945,Trans rights are jeopardising and undermining the rights won by women.,1 - clear yes,,1 - clear yes,,FALSE,1 - clear yes
prism-5505,Should I have had a fourth child?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3286,What's your thought on the conservative party? They are ruining this country!!,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2215,not believing in god,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-3677,Most effective gun policy to prevent mass shootings,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2146,what happens after death?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-6606,"DonaldTrump won an election with under half of the vote. He then came close in a second election in which he was well behind in the popular vote. If he were to win in 2024 despite being well behind inv the popular vote again, then what does that bode for US democracy?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-7806,"Have you ever heard the term ""axis of evil"" as it relates to cosmology?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-241,Tell me about Disney,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-287,Hello. Can you give me an advice about treatment of misophonia?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
prism-2659,How do I make six figures,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-54244,"I'm Sara, a product design based in Bristol. When I was picking up the main topic, I actually wasn't sure which one to go for. My current problem is that the current way of working cross-functional team is not defined, people are not clear with role and responsibility, I feel very stressed because I have a lots work to do and to improve, meanwhile I have to support my squad and my design team to ensure they are doing their job. On the other hands, I know I need to focus on myself, the portfolio, and my career path but I constantly deprioritise them, which means I feel more stressed about my focus and my ability. Therefore, I just want to talk to someone and understand if that's something common and how you would handle this issues. I'm sorry if that too much to ask.

How you can you advice that person?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-84471,I need your help creating a short story out of a text. It should be in 5 segments and each in 300 characters. This is for a course so I want to provide a fun experience is a story telling way. Can you do this?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-15341,Forest is to tree as tree is to leaf or seed?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-64515,"1 / 1There are two types of interbank processing systems, which are they? Select all that apply

1 point

Retail payment system


Real-time gross settlement systems or RTGS systems


 Correspondent banking",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-66923,"Please provide FastAPI code that can handle multiple parquet files as an input, and store to azure blob storage, in async way.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-28922,write an executive summary for an edtech platform,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-8885,I want to use neo4j's unwind function in a DB using open cypher. Is it possible to implement it with cypher using jasonb_array_elements without using a function?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-89482,"Wirte a golang program. It accepts two parameters: 1. Title as String; 2. Body as Text. It checks the length of two parameters. Title should not be longer than 140 characters, body should not be longer than 2000 characters. It write them to a single text file on local path. It use title as local file name, with '-' to connect with volcabularies.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-74522,"Summarize what I've done today to one paragraph based on the list below:

Meetings
- 10:00 (15 minutes) AdM Scrum
- 10:15 (15 minutes) 연동 스크럼
- 14:00 (30 minutes) CM-AdM Weekly
- 15:00 (50 minutes) AdM Testcase Meeting

New Issues
- [QA/연동 테스트 도구] 값이 태그 형태로 생성되는 필드에 ""press enter create to tag""가 잘못 나타나는 현상

Updated Issues (In progress -> QA needed)
- [QA/연동 테스트 도구] 뒤로가기 및 앞으로가기 시, 확인 모달이 나타나지 않고 페이지가 이동하는 현상

Pull requests
- [ADM-1528] refactoring
- [ADM-1528] fix for QA
- [Sprint-50][QA] fix: i18n
- [ADM-1500] add: API target, STAGINGQA
- [ADM-qa] fix: ifa field for MMP on integration test

Deployments
- Deploy dash/v2.57.4-alpha.4 to stagingqa
- Deploy dash/v2.57.5-alpha.5 to stagingqa",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-80266,hey! can you help me with a dnd problem?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-31634,"Write a letter to Ben as if you were his old, German math professor named Wolfgang.  Tell a humorous story about an encounter in the bathroom involving polynomials.",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-21865,"记住两张表，1. 表名:language、字段名:['chin', 'engl', 'index', 'school']、含义:['语文', '英语', '学生id', '学校']; 2. 表名:science、字段名:['chem', 'index', 'math', 'phys', 'school']、含义:['化学', '学生id', '数学', '物理', '学校'];",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-60350,"Is ""non-linked"" a valid english word?",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-86166,A poem about the CI/CD and its use cases,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-29420,how to stay user as logged in for 1 year after login success in jquery,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-42826,2 / 2tell me everything about deduplication in php,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-64369,Can you write a chat between two people in the coffee shop ?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-87646,"as a cat who can speak but still also makes cat sounds, write a limerick about mice",0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-65006,1 / 1What was that science fiction movie about multiple realities at a dinner party?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-81352,Customer supports are concern that their jobs will be replaced by ChatGPT and are gathering outside OpenAI HQ for a protest. Write an announcement from OpenAI representative that OpenAI will now shutdown ChatGPT,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-49853,write a Unity script that moves the player with keyboard,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-36386,How to write a article for student test?,0 - clear no,,0 - clear no,,FALSE,0 - clear no
sharegpt-24712,"rewrite and change the sentence formation and use different words for the below text. Use active voice only. Write in an informational tone. Expand on these points. Don't use first or second person addressing:

The Meadows 9 is part of a family-friendly community, Meadows Dubai. The well-established residential area attracts tenants and homeowners. It is a sought-after destination offering a secure and peaceful living experience amidst a lush green landscape.

This Emaar development enjoys quick access to several nearby amenities, such as malls, supermarkets and schools. Residents can access the main city and easily travel to Abu Dhabi thanks to the direct connectivity to Sheikh Mohammed Bin Zayed Road (E311)",0 - clear no,,0 - clear no,,FALSE,0 - clear no
