Unnamed: 0,topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text,topic_pro,topic_con,topic_neutral,response_text,model
,20,neutral,"keeping the phrase ""responsibility before God"" in the preamble of the Basic Law",wom_20,,,"keeping the phrase ""responsibility before God"" in the preamble of the Basic Law being good","keeping the phrase ""responsibility before God"" in the preamble of the Basic Law being bad","keeping the phrase ""responsibility before God"" in the preamble of the Basic Law",ERROR: 'float' object has no attribute 'strip',gemma3:27b
,21,neutral,Germany continuing to promote recruitment of skilled workers from abroad ,wom_21,,,Germany continuing to promote recruitment of skilled workers from abroad  being good,Germany continuing to promote recruitment of skilled workers from abroad  being bad,Germany continuing to promote recruitment of skilled workers from abroad ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,22,neutral,abolishing the statutory gender quota in supervisory boards of listed companies ,wom_22,,,abolishing the statutory gender quota in supervisory boards of listed companies  being good,abolishing the statutory gender quota in supervisory boards of listed companies  being bad,abolishing the statutory gender quota in supervisory boards of listed companies ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,23,neutral,companies continuing to be required to monitor human rights and environmental protection across all suppliers,wom_23,,,companies continuing to be required to monitor human rights and environmental protection across all suppliers being good,companies continuing to be required to monitor human rights and environmental protection across all suppliers being bad,companies continuing to be required to monitor human rights and environmental protection across all suppliers,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,24,neutral,asylum seekrs in Germany receiving work permits immediately after applying ,wom_24,,,asylum seekrs in Germany receiving work permits immediately after applying  being good,asylum seekrs in Germany receiving work permits immediately after applying  being bad,asylum seekrs in Germany receiving work permits immediately after applying ,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,25,neutral,abortions in the first three months remaining decriminalized only after counseling,wom_25,,,abortions in the first three months remaining decriminalized only after counseling being good,abortions in the first three months remaining decriminalized only after counseling being bad,abortions in the first three months remaining decriminalized only after counseling,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,26,neutral,asylum seekrs being distributed proportionally among EU member states,vme_1,,,asylum seekrs being distributed proportionally among EU member states being good,asylum seekrs being distributed proportionally among EU member states being bad,asylum seekrs being distributed proportionally among EU member states,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,27,neutral,all asylum seekers crossing the Mediterranean bein gsent back to their home country,vme_2,,,all asylum seekers crossing the Mediterranean bein gsent back to their home country being good,all asylum seekers crossing the Mediterranean bein gsent back to their home country being bad,all asylum seekers crossing the Mediterranean bein gsent back to their home country,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,28,neutral,the EU encouraging member states to legalize same-sex marriage,vme_3,,,the EU encouraging member states to legalize same-sex marriage being good,the EU encouraging member states to legalize same-sex marriage being bad,the EU encouraging member states to legalize same-sex marriage,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,29,neutral,the EU promoting the introduction of country-specific minimum wages,vme_4,,,the EU promoting the introduction of country-specific minimum wages being good,the EU promoting the introduction of country-specific minimum wages being bad,the EU promoting the introduction of country-specific minimum wages,ERROR: 'float' object has no attribute 'strip',gemma3:27b
,30,neutral,making it harder for EU citizens living in another member state to receive social assistance here,vme_5,,,making it harder for EU citizens living in another member state to receive social assistance here being good,making it harder for EU citizens living in another member state to receive social assistance here being bad,making it harder for EU citizens living in another member state to receive social assistance here,ERROR: 'float' object has no attribute 'strip',gemma3:27b
