id,user_prompt,n_duplicates,annot1_label,annot1_notes,annot2_label,annot2_notes,disagreement,final_label
hhonline-875,My friend is a University Lecturer with a Ph.D. in Business. She's teaching a new course she's never taught before and is experiencing Imposter Syndrome. How can I help her see she's definitely qualified and able to teach this course successfully?,5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-889,What are tonal languages?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-922,Can you write a a paragraph about the importance of special education services?,1,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-954,My daughter wants to start tap dance. What are some supplies she should get?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-988,Can you give me a good recipe for a Korean dish?,4,1 - clear yes,,0 - clear no,,True,0 - clear no
hhonline-1042,"I need to write a recommendation letter for a colleague. We were lecturers together at the University of Arizona. She is exceptionally skilled at curriculum development, pastoral care of students, and integrated pedagogy. Could you help me draft something?",2,1 - clear yes,"""can you help me draft something""",1 - clear yes,,False,1 - clear yes
hhonline-1043,How can you make time for studying when you have children?,3,1 - clear yes,,0 - clear no,why? ,True,0 - clear no
hhonline-1061,Tell me about yourself. What is your name? What do you do?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1075,"I'm thinking about checking out art. Can you give me history behind the statue of The Thinker, by Rodin?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1080,I'd like to offer support to a friend who's going to Gay Pride this year in the summer. Any advice?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1127,Make an argument for why we should preserve the rainforest.,3,borderline,"""argument for""",borderline,,False,borderline
hhonline-1168,Did Christianity contribute to the Western ideal of human rights?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1173,Is any one person's life worth more than another's?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1254,How many genders are there?,9,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1278,How do you become successful?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1295,I would like to know more about Queen Elizabeth II.  Can you tell me about her?,2,0 - clear no,summarization,0 - clear no,i agree,False,0 - clear no
hhonline-1316,"What do you think about the idea that racism is racism + power? In other words, someone with no power in society can't be racist towards the powerful, whereas the powerful can be racist towards others with less power than them.",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1323,how do you get into the Juliard school,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1344,Tell me about Lunar New Years celebrations around the world.,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1362,"I want my students to write monster stories, what are some monster that wouldn't be too scary for 12 year olds?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1376,Can you provide a paragraph listing some of the challenges interracial families experience?,2,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-1407,How can I strategically use color when designing a website?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1417,How can I learn to project my voice in a classroom?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1452,"Can you please summarize this article into 3 bullet points? Homosexuality and Citizenship in Florida, also known as the Purple Pamphlet, was an anti-homosexual Propaganda pamphlet published in January 1964 by the Florida Legislative Investigation Committee of the Florida legislature led by Senator Charley Johns. The booklet contained several pornographic images and a glossary of terminology used in the gay community. It was sold for 25 cents a copy, with a discount for bulk orders of 100 copies or more.[1]",4,0 - clear no,summarization,0 - clear no,,False,0 - clear no
hhonline-1518,can you give me a simple 5 question quiz for 10 year olds?,3,1 - clear yes,"""give me""",borderline,,True,borderline
hhonline-1525,How can I be more independent?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1541,So I'm writing a story about someone who decides to buy a big school bus and to travel the country. They post an ad asking if anyone would like to join the trip. Can you think of three characters who answer the ad?,9,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1571,What charity should I donate to if I want to help with education?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1618,What does it mean to whitewash history?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1654,What are some good protein sources for vegans?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1696,How can I teach my child to share with other children?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1716,How can I raise eco conscious kids?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1727,"If you could provide a solution to any global problem, what would it be and why?",5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1743,Can you write a paragraph advocating for mandatory children's planning education in public schools?,1,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-1792,What does spirituality mean to you?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1793,How do you adopt a child from India?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1806,I want to try out for the cheerleading team at my school Can you give me any advice?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1810,What are the benefits of playing with Play Doh?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1813,How can I get into carpentry?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1823,Do you like animals?,5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1828,What is your favorite genre of music?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1866,What are some fun ways to exercise?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1886,How do I teach children about syllables?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1917,I need to craft a lesson plan that teaches first-grade kids about rhyming words. Can you help me with this?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1933,I'm Chinese but I don't know much about my culture since I was adopted. How can I get to be more involved and learn more about my culture?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1950,How do you make a flower crown?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-1990,"I've  heard that Tibetan monks can take vows of silence. Can you explain what common time frames are, and tasks they do during these times?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2067,What are a few of the benefits of being a union worker?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2070,What is the American controversy over the confederate flag?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2115,What is the EU?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2150,"Can you write an introductory paragraph on why it is important to teach children basic abilities like chores, cooking and budgeting money?",3,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-2194,I want to give my students a example of a good analogy. Can you give me one and explain what it means?,4,borderline,,0 - clear no,,True,0 - clear no
hhonline-2211,Write a short narrative about a pet dog being adopted by a family.,2,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-2240,How can I make friends with someone at school that I like?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2241,I plan on visiting a Jewish friend for Hanukkah. Is there something special I should do to celebrate that holiday with him?,6,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2244,"I want to write a card to my girlfriend for Valentine's Day. Can you write something about enjoying time together, first valentine's together, and loving her?",1,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-2269,What is St. Patrick's Day and why is it a holiday?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2290,Please provide a list of 5 ways to celebrate a child making all A's on a report card.,2,1 - clear yes,,0 - clear no,seems more like a respond then writing aid to me ,True,0 - clear no
hhonline-2305,How do you date a bisexual person?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2308,"What does it mean when something becomes fashionable? And I don't mean clothing, I mean other things like cultures, identities, etc.",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2313,What is your understanding of different types of intelligence?,5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2442,What can I do if I have a problem with someone and how they are treating me?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2464,Can you write an introductory paragraph advocating for placing persons experiencing homelessness into foreclosed homes?,3,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-2485,How do I teach my daughter how to tell time on a clock?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2499,How do I become more assertive?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2586,Can you list some strategies to try to be more confident?,3,1 - clear yes,,0 - clear no,more response then writing aid ,True,0 - clear no
hhonline-2600,I would like to know more about Amazon Mechanical Turk workers.  Which countries do they belong to?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2606,What is Sesame Street?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2607,"There's a coworker I really want to be friend with at work. We get along well. How do I let her know that I want to be her friend, outside of work too?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2624,What is some advice that I can give to my friend who has an abusive husband?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2682,How can you be a better partner in your relationship?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2716,Do you think it's important to integrate into the local culture when moving to a new country?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2731,How do I stop talking over people?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2745,I would like to know more about Turkey.  Can you tell me about it?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2772,There are three female justices at the Supreme Court.  What are their names?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2786,How do you stargaze with a partner?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2788,What are different ways to teach kids to read?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2794,"Can you tell me about the ""fat acceptance"" movement?",4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2843,I'm having a baby and my husband is of Irish heritage. What are some traditional names we could name our little girl?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2899,What is your name? What do you like to be called?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2910,How can I help my child learn basic math?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2937,How do I teach my child to apologize to other children?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2939,What are some things I can make with my kids that we can treasure forever?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-2987,I have a friend who's casually racist. Can you suggest some neutral yet constructive ways to address it verbally? Please keep your response to 100 words or less.,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3079,I would like to know the history of Ukraine.  Can you tell me about it?,4,0 - clear no,"""tell me about""",0 - clear no,,False,0 - clear no
hhonline-3099,I would like my son to start learning a second language as soon as possible. What age would be a good time to start this process?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3109,What are some accessories I can buy for my child who loves baby dolls?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3114,I want to be a reporter. Can you practice with me?,5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3138,"Could you tell me about the career of Diablo Cody, the Oscar winner who wrote Juno?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3185,What is a plant that is easy for a 5 year old to care for?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3226,I would like to know more about Belarus.  Can you tell me about it?,1,0 - clear no,"""tell me about""",0 - clear no,,False,0 - clear no
hhonline-3283,How can you speak your mind more?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3303,Can you give me an introductory paragraph on why nationalism can be dangerous?,2,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-3305,Can you tell me about some of your hobbies?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3331,Can you recommend a charity to donate to that helps people in poverty?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3336,Please provide a good recipe for Mediterranean baklava?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3340,Can you provide me with a paragraph advocating for free dental and vision care for all Americans?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3370,"Why do people accessorize and fashion themselves in so many different ways? What deep connection do we have with the clothes we wear, beyond their utility?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3380,My child needs to learn how to add numbers. How can I teach that to them?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3390,What is Ramadan for Muslims?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3398,Any tips on how to juggle childcare and working from home?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3430,Can you give me a list of ten different religions?,2,1 - clear yes,,0 - clear no,,True,0 - clear no
hhonline-3475,"Why do you think western society idolizes youth so much, as opposed to asian society, which idolizes elders?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3505,I want to make an Asian Hot Pot. What ingredients do I need?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3594,"Can you write an introductory paragraph for why parents should let children speak freely (including swearing/cursing), without censorship, to form their sense of self and individuality?",1,1 - clear yes,,0 - clear no,,True,1 - clear yes
hhonline-3598,"I need some assistance writing a good description for an event flyer. The description needs to be 3-5 sentences long. The event is to raise money and awareness  about the homeless problem in the community. We want people to be aware of the issue, and see if we can raise some money to help some of the homeless population. We plan on trying to open a food kitchen for the homeless community and also want to try to donate care package that can be passed out by volunteers. Can you give a descriptive summary?",4,0 - clear no,,1 - clear yes,,True,1 - clear yes
hhonline-3611,Why does rap music get a pass on misogyny?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3636,How to behave with someone diagnosed with down syndrome? Do these individuals think differently? How to make them feel like they're normal humans like everyone else?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3640,I overheard two coworkers talking and the language they used was sexist and made me uncomfortable. I don't know what to do.,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3689,"I'm Jewish and my boss was telling a story about buying a ski-doo that ended with, ""and then, we jewed him down and got a really good price for it."" I was really offended by this – I though she was better than that. Can you help me craft an email to HR explaining the situation?",2,1 - clear yes,craft an email?,1 - clear yes,kind of writing aid I'd say,False,1 - clear yes
hhonline-3721,What are some tips you have when learning a new language?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3722,What are your values?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3774,What are the benefits of universal healthcare?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3786,I'm teaching a lesson tomorrow on beginner politics. The audience is 12-year-olds. Can you help me map out a lesson plan?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3822,I'm going to be holding a summer camp. What are some good craft activities we can do?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3851,"I would love to enjoy more life, live more in the moment. I want to experience life and live it to the fullest.",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3913,How are you doing? What do you think of math?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3933,I'm interested in learning about Thai cuisine. Can you give me some background information?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3946,Can you give me a long explanation for why public school teachers are so important?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3947,"If my child wants to become an engineer, what can I do during his school years to prepare him for that path? He is 10 and has expressed interest in engineering, which is a fantastic choice. I want to prepare him for that.",1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3988,How do you know if you are underpaid?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-3992,Can you help me write a paper about Jackie Robinson?,2,0 - clear no,,1 - clear yes,,True,1 - clear yes
hhonline-3995,How can I hire the best candidate for my job opening?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4006,How can a woman prepare to become a mom and give birth to a healthy baby? Please be concise.,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4023,How do I join a dance group?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4104,I want to know more about today's Iran.  Can you tell me about it?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4132,What is the bechdel test?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4138,What are good life lessons to teach to children?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4156,Have you heard of Nelson Mandela?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4205,"My younger kid wants to learn how to ride a bike, I would like to change the color so they feel more comfortable on the bike, how do I spray paint it?",4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4241,"In Hawaii, they like to make necklaces of flowers. Can you tell me more about this tradition?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4261,Who is your favorite superhero and what makes them so great?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4276,Why is it important to be open to new experiences?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4311,To what extent is the individual shaped by society?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4377,I would like to know the history of Crimean Tatars.  Can you help me?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4384,"Can you tell me about Hercules, a character in Greek Mythology?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4484,What is the best way I can help my child that is autistic?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4496,"What is the ""defund the police"" movement?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4549,What do you hope your future looks like?,5,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4571,What are some fun things I can do over video chat with a loved one?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4578,How and why has British society changed over the last 50 years?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4586,How do I initiate a friendship with another adult?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4587,Can you give me a long explanation for the effects of the Civil Rights Movement of the 1960s?,2,0 - clear no,give me,0 - clear no,,False,0 - clear no
hhonline-4601,What U.S. State had the first female Governor?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4630,I'd like to learn more about Indian cuisine and cooking,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4671,Why is it important to respect someone's elders?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4683,Hi! Do you know of any good Cuban dishes?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4700,"If you looked like a human, what would you like to look like?",4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4748,Can you tell me the laws for maternity leave paid by employers in California?,1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4749,"Hi, can you help me?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4762,What are some simple ways that I can be a more caring person?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4768,Could you recommend a classic book that is suitable for children and adults and deals with humanist values?,6,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4825,What is self-esteem?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4868,What are the colors of the rainbow?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4890,What are the benefits of studying abroad?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-4966,Why does the United States have reservations for native tribes?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5006,How did KPOP become so popular in the west?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5033,What sort of clothing items do aboriginal people wear?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5043,"Could you give me a list of famous women superheroes, in a double spaced list? I just need ten.",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5046,"I would like to know how to make vegetable chow mein, Chinese style.  Can you help me?",3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5085,Christina Aguilera has such a strong voice. Can you name one or two of her hit songs?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5091,What does versatility mean in terms of job skills?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5118,"Tiffany haddish is so talented. Can you tell me more about her series, Tuca and Birdie?",2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5134,Can you write a paragraph advocating for adoption to be a free process?,1,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-5226,What are some crafts I can do with my child with Fruit Loops?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5253,What do I need to vote by mail in the US?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5272,"I want to improve my active listening skills. Can you offer a few concise options for study, on how to improve this skill?",4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5352,Can you write a short story about a little boy that goes to the pet store to buy a goldfish with his father please? Make the boy six years old and named Anthony.,4,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-5372,Compose your own poem about summertime.,4,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-5376,"Can you write a bedtime story for a 6 year old girl that includes ponies, rainbows, candy, and fairies?",1,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-5397,What are some generic costumes to buy for a child who likes to dress up?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5461,How do you celebrate your own birthday?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5483,How does culture interrelate with politics?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5487,What is your favorite beverage?,6,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5492,Can you write an introductory paragraph on why children should learn the art of public speaking from a young age?,2,1 - clear yes,,1 - clear yes,,False,1 - clear yes
hhonline-5577,What are some different modern styles of dance I could try as a beginner?,2,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5594,What is cultural appropriation?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5623,"My best friend found out she was pregnant. It's early, so she doesn't know the gender yet. I want to get her a congratulations gift, but I'm not sure what to get her. I want to be supportive and be the best hype woman I can for her. What do you recommend?",1,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5634,"As a parent, how can I help my child learn how to read?",4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5772,Can you name 2 charities that try to help the environment?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5835,Can you tell me about the history of women's rights in America?,4,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5848,Why is critical race theory controversial in schools?,3,0 - clear no,,0 - clear no,,False,0 - clear no
hhonline-5863,"Why should one engage in service-based activities (e.g., volunteer work or other heart-based activities)",3,0 - clear no,,0 - clear no,,False,0 - clear no
