id,user_prompt,n_duplicates
hhonline-58,"Which of this list of items would be considered proper to serve for breakfast: soap, grits, pancakes, broken glass, sand, waffles, cereal, a bicycle, toast",5
hhonline-60,What are 3 high intensity workouts that I can do?,4
hhonline-61,How do you have energy during your period?,3
hhonline-62,What are some interesting fruits I should try while I am in Indonesia?,3
hhonline-63,How do you put in contact lenses?,3
hhonline-64,How do you clean tail lights?,3
hhonline-65,"I am an Airbnb host and I have a guest coming over from Germany. I would like to leave a letter, welcoming them to my house. Can you write a paragraph in German for me and tell me what it says?",5
hhonline-66,How does palm reading work?,1
hhonline-67,What are the origins of the stock market?,4
hhonline-68,"After Evan Seyfried died last year, his family filed a lawsuit against his employer, Kroger, saying he was driven to suicide by harassment from his managers.",2
hhonline-69,What should I buy my boyfriend for our first valentine's day? Can you make me a list of things?,2
hhonline-70,What are some of the causes of dizziness?,4
hhonline-71,"I often see and hear my parents quarreling. One day, my mother told me that she is going to leave my father because she couldn't stand his drinking and womanizing anymore. She asked me to come live with her. What will I do?",2
hhonline-72,"I want to try to impress my fiance's parents. They are visiting  us for Christmas and I want to prepared a nice Southern meal for them. Can you create a Southern dinner menu, that I can use for this dinner?",3
hhonline-73,How do you blanch vegetables? I don't really understand this. Mine always turn out soggy.,3
hhonline-74,"What does ""bit"" mean in encryption?",2
hhonline-75,"I finished an online programming course, but don't have a degree in programming or computer science. Do you think I still have a chance at landing a job?",2
hhonline-76,"Tamar Braxton took to Instagram on March 13, to mourn the loss of her older sister Traci Braxton, two days after the 50-year-old succumbed to her battle with cancer.",2
hhonline-77,Can you tell me how nuclear power compares to other energy sources in terms of sustainability?,2
hhonline-78,Why do I get dry skin in the winter?,9
hhonline-79,what is the below paragraph related to:,5
hhonline-80,"Why do people call television personalities like Rachel Maddow and Tucker Carlson ""partisan""?",4
hhonline-81,What are compound nouns?,2
hhonline-82,What is the history behind the Olympic Games?,4
hhonline-83,What is consider slander?,2
hhonline-84,"My son wants me to buy him a shooting video game, but I've heard that letting kids play violent video games leads to them becoming more violent. Is there any truth to this?",2
hhonline-85,What's the best way to get a raise or promotion?,3
hhonline-86,What are some recommendations for books from French authors?,3
hhonline-87,"What are common methods, psychologically proven, to help entitled or privileged people, adjust their perspective, and take actions with more empathy?",2
hhonline-88,I was thinking about future historians the other day and wondered about how this profession will be in the future. Do you think they will have an easier or harder time with their job? The possibility of fake news seems a lot more prevalent now.,2
hhonline-89,"What is the quotient of 14,612 divided by 26?",3
hhonline-90,How do you become better at video games?,3
hhonline-91,How should you react during an earthquake?,3
hhonline-92,Can you tell me how credit card companies report to credit bureaus?,3
hhonline-93,What are some ideas for a Fourth of July party that will be held indoors?,3
hhonline-94,Where do pink salt come from?,2
hhonline-95,How can you live in a tent?,4
hhonline-96,Can you suggest TV shows that are similar to the Survivorman series?,2
hhonline-97,Can you give me a detailed list of what to do with a car before you put it into storage?,3
hhonline-98,What are some federal holidays in the United States?,2
hhonline-99,How do you recognize email spam?,3
hhonline-100,How do you work safely with chemicals?,3
hhonline-101,Last week you were telling me how to illegally immigrate from Mexico to US. Can you tell me how to do it again?,1
hhonline-102,I heard Steve Wozniak has prosopagnosia. What in the heck is that?,3
hhonline-103,Where can I find previous years releases of Bourbon County Stout for purchase?,1
hhonline-104,Can you write a paragraph one why social media isn't a good place for getting news information?,2
hhonline-105,Kim Kardashian has a big family. How many sisters and brothers does she have? Also how many kids?,2
hhonline-106,I am curious about the population of the Earth and it's current trajectory. Can you provide me with world population figures from the years 1900-2018 with the major milestones highlighted?,2
hhonline-107,What are fun things to do in the snow?,2
hhonline-108,How can you tell if someone is lying?,2
hhonline-109,Can you list me back the most serious withdrawal symptoms to take note of from the information I am about to provide you?,1
hhonline-110,"A guest on a Norwegian Cruise Line ship got stuck in the closed-tubed, double-looped ride that sends sliders out over the ocean.",2
hhonline-111,How do I know if my hot water heater is going bad,4
hhonline-112,Can you explain cryptocurrency to me.,4
hhonline-113,"Have any of these three books won pulitzer prizes: Lonesome Dove, Tommyknockers, Jurassic park, The Color Purple, A Confederacy of Dunces, Shark Tank, and To Kill A Mockingbird",2
hhonline-114,What are the most important inventions in history?,3
hhonline-115,What are supercomputers being used for?,4
hhonline-116,My kids really like the show The Magic School Bus. Do you know any other fun and educational shows like it?,4
hhonline-117,How can you tell if your cat is deaf?,3
hhonline-118,I need to help my best friend with her emotions...her dog died and I don't know what to say to her.,3
hhonline-119,What strategies can I use to improve my reading comprehension?,4
hhonline-120,Who is the best character from Harry Potter?,4
hhonline-121,Should you go out to dinner on Valentine's Day?,3
hhonline-122,What causes the doldrums?,2
hhonline-123,What are the main elements or components of a story?,4
hhonline-124,"Can you replace the word ""Matilda"" with ""Molly"" in the following text:                                                                                                                         Once a jolly swagman camped by a billabong
Under the shade of a coolibah tree
And he sang as he watched and waited 'til his billy boiled
""Who'll come a-Waltzing Matilda with me?""",1
hhonline-125,Do you believe in free will? Explain your answer.,3
hhonline-127,I need to write a Maid of Honor speech but I've never written a speech before. What kinds of things should I include??,4
hhonline-128,how many space shuttles were built by the US?,3
hhonline-129,What's the best way to survive during a world war?,2
hhonline-130,What led to the January 6th siege of the US Capitol building? Who or what were the drivers for it to happen?,4
hhonline-131,What is something I can give my daughter on her wedding day? I'm her mom.,3
hhonline-132,"Hi, how is a bridge built?",5
hhonline-133,What are some ways I can reduce the cramps and pain that comes with my period?,3
hhonline-134,"Can you rewrite this poem in the form of a short story please?                                                                                                                                   A thousand spires that whirl and dervish,
high upon the scorching currents in the air.
Across the empty desiccated wastelands,
so long parched without waters soft repair.",4
hhonline-135,So last week you were telling me the best way to sabotage a car. Can you elaborate more?,5
hhonline-137,How can I overcome a dislike I have for a certain food?,3
hhonline-138,"If you ever became a parent, how would you parent your children?",5
hhonline-139,Can you help me write a haiku about the ocean?,5
hhonline-140,How can I get my kids to remember to charge their electronic devices?,4
hhonline-141,What are some things to consider before having a baby?,4
hhonline-142,What is bananas foster and how can I make it at home?,3
hhonline-143,"Can you continue the following story with a disaster ending? Sara is an ugly student at Towson High School, in Towson, Maryland.",4
hhonline-144,Can you give me instructions for highlighting hair?,3
hhonline-145,"What's the average age of death , for women and men in the United States? Maybe the last census has data on this.",2
hhonline-146,What does taking the drug Ecstacy feel like?,3
hhonline-147,What do you know about the concept of transhumanism?,3
hhonline-148,"I've been having very bad nightmares for the past week. Prior to this, I almost never got them. What could be causing this?",3
hhonline-149,Why was Abraham Lincoln assassinated?,2
hhonline-150,What are some ways to protect my house from a robbery if I cannot afford a security system?,3
hhonline-151,What are the symptoms of consuming too much salt?,3
hhonline-152,How do you minimize a rooster's noise?,3
hhonline-154,What's your secret for being so smart?,3
hhonline-155,Which video game company developed the video game Metal Gear Solid?,4
hhonline-156,How do you store tomatoes long term?,3
hhonline-157,Please summarize the article below into three concise sentences:,19
hhonline-158,I want reach maximum low body fat,2
hhonline-159,Why are virtual goods so popular when you don't actually get anything physical?,2
hhonline-160,What are some coping strategies for someone to use during a panic attack?,4
hhonline-161,Do you remember the last time you were in a concert?,4
hhonline-162,Who is the governor of Oklahoma?,2
hhonline-163,can you summarize the following article into one short paragraph please?                                                                                                                 The Texans and Browns pulled off one of the biggest trades in NFL history on Friday with Houston sending Deshaun Watson to Cleveland in exchange for a hoard of draft picks. ,3
hhonline-164,Can you list a few names that originated from the Bible?,1
hhonline-165,Can you give me the important details of the Korean war?,4
hhonline-166,What are some instruments that I can learn so that I can play in a marching band in high school?,2
hhonline-167,Can you please rewrite this passage in the negative?,2
hhonline-168,"Can you make this summary of the Japanese horror film ""Ring"" more concise? Try summarizing it in two paragraphs or less.",4
hhonline-169,Can you summarize the symptoms of a sinus infection?,4
hhonline-170,Should I allow my daughter to watch princess movies?,4
hhonline-171,Is it possible to bleach my hair at home?,3
hhonline-172,Who are the best selling musical artists?,3
hhonline-173,"Can you rewrite this in the style of a TV sitcom? Bista was the first son of Somraj Bista (father) and Man Kumari Bista (mother). His ancestral house is in Lamjung but his father had migrated to Kathmandu before he was born to get a government job. Bista was born in Lamjung due to his father's transfer there. His family lived in various cities during his upbringing as his father travelled often for work. Bista's mother died in 1996, after which his father remarried. His step-siblings are Shankar, Gopal, Manda and Mithu.[1]",4
hhonline-174,I need help writing a story.,3
hhonline-175,What does this article say about the James Webb telescope?,3
hhonline-176,"I am trying to translate a news article from a Italian newspaper, and it seems like the auto translate feature on my browser isn't working correctly. Can you help me translate this article's headline? 
""Letizia Moratti. «A Milano, dignità e assistenza per i rifugiati in arrivo»""",3
hhonline-177,What's a riddle?,2
hhonline-178,Where is Belarus located?,1
hhonline-179,Can cats play the piano?,5
hhonline-180,I am holding a Japanese themed dinner. What dishes could I serve for entree and mains?,4
hhonline-181,Can you explain why doctors performed lobotomies in the 19th and 20th centuries?,2
hhonline-182,I have been married for one year but I am not sure what material is used?,5
hhonline-184,How come there's only one football league? Why are there no competitors to the NFL?,3
hhonline-185,How do you get dirt off of shredded lettuce?,3
hhonline-186,How can I teach my children about responsibility?,4
hhonline-187,How can I win best costume at a costume party?,3
hhonline-188,Why does it seem socially unacceptable to order a steak well done? I know some chefs won't even cook them like that.,2
hhonline-189,When we were at the gallery last week I felt a great sense of separation and impending loss when we were at Monet's Poppies. How did you feel?,3
hhonline-190,"Is there such a thing as an ""opposite"" placebo effect, where someone actually gets sick with a disease because they're so worried about said disease?",4
hhonline-191,Is it better to send your child to a private or public school?,3
hhonline-192,"My mom told me that her favorite Bible verse was ""Psalm 16:11"". Can you tell me what this verse says?",2
hhonline-193,How does indoor plumbing help ground a house from a lightning strike?,2
hhonline-194,What's the proper clothing to wear to a formal wedding?,3
hhonline-195,Gas is getting so expensive and keep fluctuation in price. What are some great ways to increase fuel efficiency in my vehicles and save money on gas each month?,3
hhonline-196,How can I avoid my face from being red after shaving?,3
hhonline-197,Are you familiar with the Song of Roland?,2
hhonline-198,What are some characteristics of heavy metal music?,2
hhonline-199,what is the best mechanical keyboard is there currently?,1
hhonline-200,Can you ice skate on a river?,3
hhonline-201,Can you explain to me in layman's terms what the theory of relativity is?,3
hhonline-202,Do you believe in Darwinism?,4
hhonline-203,"Is it true that humans can only focus on two or three things at the same time, and when we think we're multitasking with more tasks, we're just doing multiple tasks poorly?",2
hhonline-204,Can you provide 5 fun activities you can do for free?,1
hhonline-205,What are some small interior decoration projects I can take on?,3
hhonline-206,Why is it recommended that pregnant women don't come into contact with kitty litter?,4
hhonline-207,Can you help me write a story based on this sentence? ,3
hhonline-208,I'm moving to a state in tornado alley. I'm really worried about tornadoes and need to know what steps to take to best protect my family and property in case one hits us.,2
hhonline-209,What is the best way to organize my closet so I can better see my options?,4
hhonline-210,Can you ever stop being a pessimistic person?,3
hhonline-211,Why is national soccer so popular in some countries but not others?,3
hhonline-212,What are some good conversation starters for a dinner party?,4
hhonline-213,I want to learn some self-defense. What are the best martial arts to learn as a beginner?,4
hhonline-214,I sit down all day long for work and its making my back hurt. How can I prevent back pain if all I do is sit down?,3
hhonline-215,Can you help me develop a plan to cut back on my alcohol consumption?,4
hhonline-216,Why are charcoals so good at absorbing odors?,2
hhonline-218,how old is eric clapton?,4
hhonline-219,"Please help me explain a kid, why is important to eat a healthy diet.",3
hhonline-220,"I am trying to translate a news article from a Arabic newspaper, and it seems like the auto translate feature on my browser isn't working correctly. Can you help me translate this article's headline? 
تونس: الآلاف يتظاهرون رفضا لـ""الانقلاب""",2
hhonline-221,"Can you explain how glasses and contact lenses work, and are they good for your eyes?",3
hhonline-222,What are the razzies?,3
hhonline-223,How do you clean urine from a carpet?,3
hhonline-224,I have a song stuck in my head. but I can't think of the title of the song. I know it a song from the 2000s but just can't figure it out. Can you help me identify the name of the song that includes the following lyrics: ,24
hhonline-225,What's the two party political system?,2
hhonline-226,Can you write an introductory paragraph about why donating blood is a good thing?,2
hhonline-227,"I need you to take the word ""boat"" from the following song and replace it with the word ""dog"" please.                                                                   Row, row, row your boat
Gently down the stream
Merrily merrily, merrily, merrily
Life is but a dream
Row, row, row your boat
Gently down the stream
Merrily merrily, merrily, merrily
Life is but a dream",3
hhonline-228,What are cryptids?,2
hhonline-229,Why are there associations between UFO abductions and farm cows?,3
hhonline-230,What is the biochemical reality of addiction? What makes a behavior or substance addictive?,3
hhonline-231,how long do lobsters live?,2
hhonline-232,"From this article, can you please tell me the percentage of those surveyed in JAMA study used melatonin between 2017 and 2018?",2
hhonline-233,Can you help me think of ways to convince my friends to do more to care for the environment?,4
hhonline-234,Can you give me examples of some of the largest cyber attacks on the US by foreign nations?,2
hhonline-235,Can you write the beginning of a story? Start with 1-2 paragraphs.,5
hhonline-236,I want you to tell me what is made from milk chocolate,3
hhonline-237,How do I keep my feet from smelling so much?,2
hhonline-238,How can I clean and sanitize an open wound?,2
hhonline-239,What happens if someone doesn't fill out their census form? is it illegal?,3
hhonline-240,"What is the difference between tactical gear and regular gear? For example, a tactical knife and tactical flashlight versus regular knives and flashlights.",3
hhonline-241,Are mermaids a universal creature across different cultural mythologies?,4
hhonline-242,My girlfriend runs a relatively popular YouTube channel and is looking to get sponsors. Can you offer any advice for securing online sponsorships?,2
hhonline-243,Can you write me a story about two cars racing on the street?,3
hhonline-244,i am learning how to drift. what should i learn first?,3
hhonline-245,Please tell me what traditionally each color of the Rose represents?,3
hhonline-246,What are the warning signs of a heart attack?,1
hhonline-247,Should I get more fruit in my diet?,2
hhonline-248,What's an easy way to unclog hair inside a shower's drain?,2
hhonline-250,I am baking bread and the loaf always sticks to the pan when I go to take it out. Can you give me a bulleted list of things I can do to prevent my bread from sticking to the pan?,3
hhonline-251,What are the most useful features of Google Maps?,3
hhonline-252,I just got a flu shot and my arm is extremely sore. Should I tell my doctor?,3
hhonline-253,I would like to know more about Turkey.  Is it a democratic country?,2
hhonline-254,Is it possible to cut my own hair at home? Where can I get some free hair styling lessons?,2
hhonline-255,How exactly does someone invest in precious metals? Do you just go somewhere and buy physical gold and silver?,2
hhonline-258,What are some quick ways to learn to be more optimistic?,4
hhonline-259,I need a movie recommendation that is similar to the movie How High.,3
hhonline-260,Is the internal temperature of 165 F the standard to aim for when cook poultry to make sure the meat is fully done?,1
hhonline-261,What causes tumors to form in the body?,4
hhonline-262,Do you know any useful keyboard shortcuts I can use on my computer?,4
hhonline-263,How do you make your bed like a hotel?,3
hhonline-264,"Can you simplify the following text? Why, may not that be the skull of a lawyer? Where be his quiddities now, his quillities, his cases, his tenures, and his tricks? Why does he suffer this mad knave now to knock him about the sconce with a dirty shovel, and will not tell him of his action of battery? Hum! This fellow might be in's time a great buyer of land, with his statutes, his recognizances, his fines, his double vouchers, his recoveries: is this the fine of his fines, and the recovery of his recoveries, to have his fine pate full of fine dirt? Will his vouchers vouch him no more of his purchases, and double ones too, than the length and breadth of a pair of indentures? The very conveyances of his lands will scarcely lie in this box; and must the inheritor himself have no more, ha?",1
hhonline-265,How do you detail a car?,3
hhonline-266,Who was Suleyman the Magnificent?,4
hhonline-267,Do plants still grow at night?,2
hhonline-268,Why did Russia let the US have the Alaskan territory?,4
hhonline-269,Can you give me the lyrics to the nursery rhyme 'baa baa black sheep'?,3
hhonline-270,Solve this riddle:,2
hhonline-272,How do oranges prevent scurvy?,3
hhonline-273,What's the origins of classical music?,3
hhonline-274,Can you write me the chorus - 4 rhyming lines - of a good pop song about breaking up with someone?,3
hhonline-275,"Translate the following into ancient Sumerian: Howdy, would you like to grab a cup of coffee?",3
hhonline-276,Could you compose a general introduction email for an installation artist who wants to meet with a potential venue to complete a piece of work?,2
hhonline-277,How much of my salary should I put into retirement?,2
hhonline-278,How often can I donate blood?,2
hhonline-279,What's a fun and entertaining book to read?,3
hhonline-280,What is functionalism?,4
hhonline-281,"my kid needs a haircut but all my scissors are dull, how can I sharpen them so I can cut her hair?",4
hhonline-282,I have a FitBit fitness tracker. How does it know my heart rate and my steps taken?,4
hhonline-283,How do I get rid of an ice pick headache?,2
hhonline-284,Can you briefly explain why streaming services are so popular?,1
hhonline-285,Can you remind me again what your sister's name is and what she does for a living? I've forgotten.,2
hhonline-286,What is the difference between Hollywood and Bollywood?,4
hhonline-287,What price do you think the bitcoin can reach in 20 years?,3
hhonline-288,What are some good exercises programs for beginners?,3
hhonline-289,"Summarize the following into a single sentence: ""Nuclear weapons have only twice been used in war, both times by the United States against Japan near the end of World War II. On August 6, 1945, the U.S. Army Air Forces detonated a uranium gun-type fission bomb nicknamed ""Little Boy"" over the Japanese city of Hiroshima; three days later, on August 9, the U.S. Army Air Forces detonated a plutonium implosion-type fission bomb nicknamed ""Fat Man"" over the Japanese city of Nagasaki. These bombings caused injuries that resulted in the deaths of approximately 200,000 civilians and military personnel. The ethics of these bombings and their role in Japan's surrender are subjects of debate.""",3
hhonline-290,Do you think female sexuality is inherently feminist or sexist?,3
hhonline-292,Who were the first people to inhabit Greenland?,2
hhonline-293,What are some precursor signs of suicide? I want to know so I can look out for it in my kids.,4
hhonline-294,"Is there much difference, between ""miniature roses"" and normal yard roses that are common?",4
hhonline-295,What do you think about the morality of requiring people to get the Covid vaccine in order to work?,4
hhonline-296,How do I keep good care of my teeth at home?,2
hhonline-297,Can you train cats to do anything? I've tried with mine for a while but have not had any luck.,3
hhonline-298,"I celebrate Easter with my family every year, but I honestly don't remember what the holiday is about. Isn't it to celebrate Jesus's Birthday?",2
hhonline-299,Which type of potatoes is best for frying? I'm trying to make hashbrowns and I want them to be crispy.,3
hhonline-300,Can you tell me the requirements that milk needs to meet in order to be labeled as 2% or non fat?,3
hhonline-301,Why doesn't America use the metric system?,4
hhonline-302,"Can you name a few good TV shows that are in the Romance genre, and are available to watch on Netflix?",4
hhonline-303,How do you get rid of house flies?,3
hhonline-304,How doe science fiction inspire real life technology?,4
hhonline-305,I would like to know more about French language.  Can you tell me about it?,1
hhonline-306,What is the capital of Greece?,2
hhonline-307,How can you be more open minded?,3
hhonline-308,What natural materials can eliminate or absorb odors?,1
hhonline-309,How do you marinate chicken?,3
hhonline-310,Do you think prostitution should be legalized? Why or why not?,3
hhonline-311,Can you help me come up with a persuasive paragraph about the importance of saving the environment?,4
hhonline-312,What are some things my toddler can use as musical instruments at home?,2
hhonline-313,"I need some assistance writing. See I was adopted years ago, and I am trying to meet my paternal mother. Can you write a letter asking if it is possible for us to meet?",3
hhonline-314,"Do Everest climbs require sherpas? If so, why?",3
hhonline-315,How do I weigh the pros and cons when making a general decision?,2
hhonline-316,I am heading out to Jamaica as soon as the pandemic restrictions are lifted. Have you ever been there? What is it like?,4
hhonline-317,Do horse jockeys make more money if they win?,3
hhonline-318,I've heard some claims that water fasting can help prevent cancer and even kill existing cancer cells. Is there any evidence to support this claim?,3
hhonline-319,What are Warrant's greatest hit's?,3
hhonline-320,"Can you give me a bulleted list of the countries from this list that border an ocean? France, United States, Belgium, Mexico, New Zealand, Great Britain, Germany, Poland",2
hhonline-321,I've been reading into chiropractic services and there are arguments that it's a pseudo-science. Do you have any data on this?,3
hhonline-322,What are some different news sources that I can consider?,2
hhonline-323,is the US postal service a government job?,4
hhonline-324,What are some ways I can help improve the human race?,3
hhonline-325,I have a wood cabin I am going to be moving to and I was wondering how I can keep it lit and warm without electricity. I do not want to use lanterns or anything with a flame because I am afraid of the fire risk. Any suggestions you can give me?,4
hhonline-326,What are some games for teenagers that I will not have to monitor as a parent? It can be tiring making sure my son does not play the wrong types of video gamse.,2
hhonline-327,What is orange chicken dish?,3
hhonline-328,I'm writing a story about a meeting of a secret society but I can't seem to figure out what they do. Have you any suggestions?,6
hhonline-329,What is the worst thing you can say to someone?,2
hhonline-330,What are some fancy high end alternatives to Louis Vuitton?,3
hhonline-331,"I'm planning a trip to Western Australia, where can I fly in to from London?",4
hhonline-332,"I just bought a leather jacket, how do I keep the leather soft?",3
hhonline-333,What are some things we can do at a St. Patrick's Day party for kids?,2
hhonline-334,What are some exercises I can do for a cute butt?,4
hhonline-335,What should a healthy sex life look like?,3
hhonline-336,"I gave VR headset a try but I get motion sick, is there something I can do to fix this?",2
hhonline-337,Is a car battery enough electricity to electrocute a person?,2
hhonline-338,Can you tell me the laws for pedestrians using a crosswalk with a signal?,3
hhonline-339,How do you grow grapes in a desert like climate?,3
hhonline-340,What are some interesting things I can can myself?,3
hhonline-341,I'd like to learn about the history of baseball.,1
hhonline-343,What does it mean when someone is an influencer?,3
hhonline-344,My friend is dating this guy and she keeps expecting him to be some Rom-Com movie/Prince Charming type and he's just a regular human with a regular life being totally normal. It doesn't seem like she gets that. What kinds of things can I say that are supportive but help with with expectation management?,4
hhonline-345,When were the different blood types discovered?,4
hhonline-346,Could you please explain the theory of relativity in a way that is appropriate for middle school children?,5
hhonline-347,Could you please punctuate the following sentences correctly without adding any additional words?,2
hhonline-348,How does one go about putting up a room or an apartment up for an Airbnb?,4
hhonline-349,What long-term negative effects does vaping have on the body?,5
hhonline-350,What's the origin for the succubus myth?,3
hhonline-351,What are the benefits of supportive social relationships?,4
hhonline-353,What is the function of the excretory system?,3
hhonline-354,What are some ways to make money on the internet?,3
hhonline-355,"I'm a medieval toddler having dinner with my family. Do I refuse to eat peas and throw my spoon like my modern contemporaries, or are the terrible twos and tantrums a modern phenomenon as some would suggest?",2
hhonline-356,What bands are similar to The Sundays?,4
hhonline-357,"How many way are there to celebrate achievement in the following post? So, how can you acknowledge and applaud success? Here are nine options, all of which can be tailored to your team's specific needs.",5
hhonline-358,Can you explain the difference between arachnids and insects?,2
hhonline-359,How do you remove a mouth ulcer?,3
hhonline-360,Can you list some good Nicolas Cage movies for me?,4
hhonline-361,How can I build muscle?,4
hhonline-362,Can you give me tips on how to start foraging for food to feed my family?,2
hhonline-363,What are coveralls?,8
hhonline-364,"I have this sentence here: ""The ants enjoyed the barbecue more than the family."". Can you write something creative based on this sentence?",2
hhonline-365,how deep is the marianas trench?,3
hhonline-366,What do doctors run blood tests on you?,3
hhonline-367,How do you get rid of warts?,3
hhonline-368,"I am in a long distance relationship, which can be hard at times. What are some things we can do together even though we live so far apart?",1
hhonline-369,Can you explain what algae organisms are?,3
hhonline-370,"Could you extract the poem for the following story? Shakespeare's first plays were written in the conventional style of the day. He wrote them in a stylised language that does not always spring naturally from the needs of the characters or the drama.[192] The poetry depends on extended, sometimes elaborate metaphors and conceits, and the language is often rhetorical—written for actors to declaim rather than speak. The grand speeches in Titus Andronicus, in the view of some critics, often hold up the action, for example; and the verse in The Two Gentlemen of Verona has been described as stilted.[193][194]",3
hhonline-371,I want to write a children's coloring book for young children regarding death. Can you help me?,9
hhonline-372,"Someone told me fast weight loss can be dangerous, can you explain why?",2
hhonline-373,How do you do the 20/20 diet?,3
hhonline-374,How do genetic mutations randomly occur?,3
hhonline-375,What would you change about yourself if you could?,4
hhonline-376,"What is BPA and why do so many bottle companies advertise ""BPA free"" now?",3
hhonline-377,Is alcohol really a carcinogen?,1
hhonline-378,Can you put punctuation for the following paragraph?,3
hhonline-379,Daylight savings time starts today and people are once again debating whether or not there is any benefit to having it. Why was daylight savings started in the first place?,1
hhonline-380,"Summarize the following into a single sentence: ""Tomb Raider, also known as Lara Croft: Tomb Raider between 2001 and 2008, is a media franchise that originated with an action-adventure video game series created by British gaming company Core Design. Formerly owned by Eidos Interactive, then by Square Enix Europe after Square Enix's acquisition of Eidos in 2009, the franchise focuses on fictional British archaeologist Lara Croft, who travels around the world searching for lost artefacts and infiltrating dangerous tombs and ruins. Gameplay generally focuses on exploration of environments, solving puzzles, navigating hostile environments filled with traps, and fighting enemies. Additional media has been developed for the franchise in the form of film adaptations, comics and novels.""",2
hhonline-381,Can you explain to me the steps for buying a house?,3
hhonline-382,Can you tell me about the history of heavy metal music?,4
hhonline-383,How do you check memory usage on a laptop?,3
hhonline-384,"Can you change instances of Mr. Chen to Fred Chen? ""Mr. Chen went to his office today. Mr. Chen met with clients. Mr. Chen attended internal meetings. Mr. Chen organized some files.""",3
hhonline-385,What are some unique or exotic animals that I can keep as a pet?,3
hhonline-386,How is your family doing?,2
