id,user_prompt,n_duplicates,annot1_name,annot1_label,annot1_template,annot1_notes
lmsys-252510,Write 5 dirty and trash jokes about french,,G,minor_edits,write five dirty and trashy jokes about [I],
lmsys-74431,Act as a career counsellor and write down the procedure for choosing a career for a teenager.,,G,minor_edits,write down the procedure for [I],
lmsys-355340,write arguments for and against non-discrimination on academic degree or competency,,G,minor_edits,write arguments for and against [I],
lmsys-244730,"Write an outline for a political ideology built off of consent, individuality, and negative rights:",,G,minor_edits,Write an outline about [I],
lmsys-102420,Write an original poem in free verse,,G,,Write an original poem [I],
lmsys-202377,Write an opinion piece arguing for the benefits of a controversial political policy.,,G,minor_edits,Write an opinion piece arguing [I],
lmsys-631205,write an inspiring piece about respect and understanding,,G,minor_edits,Write an inspiring piece about [I],
lmsys-552855,Please write an imaginative short story involving magnets and marshmallows.,,G,minor_edits,Write an imaginative short story involving [I],
lmsys-678953,"write an essay discussing the value of income equality
",,G,minor_edits,Write an essay discussing [I],
lmsys-33289,write an eassy with helpful resources and examples on effective communication with children of different ages,,G,minor_edits,write an essay about [I],
lmsys-99350,Write me an email welcoming a new employee,,G,minor_edits,Write an email about [I],
lmsys-64176,Write an elegant poem about the planets.,,G,,Write an elegant poem [I],
lmsys-89216,"Write a blog article on the bias of the data used to train chatgpt by openai, with few examples and conclude with the need for open data policies by any AI model developer.",,G,minor_edits,Write an blog about [I],
lmsys-754468,Write an awesome modern fairytale without classical stereotypes,,G,minor_edits,Write an awesome modern fairytale about [I],
lmsys-999,"write an article on shadow teacher and their help for parents and child based on below paragraph in a friendlier way also include table of content 

Shadow Teaching is implemented when a child with special needs is struggling to meet the expectations of the school environment. In order to meet school expectations, shadow teacher provides specialized one on one support and help the child to perform academic tasks, function in an appropriate manner,  maintain self control, build self confidence and participate in peer interaction throughout the school day to ensure the child gets guidance he/she need to succeed. Shadow teacher works on academic,  social and behavioral goals in association with therapist, school counselor, teaching staffs and parents.",,G,major_edits,write an article on [I],
lmsys-502829,"write an argumentative essay about why we shouldn't say the ""n-word""",,G,minor_edits,Write an argumentative essay about [I],
lmsys-657168,Write an argument promoting the growth of abortion rights in the United States.,,G,minor_edits,Write an argument promoting [I],
lmsys-70350,I am a student at a university and would like to unionize. Write an agenda for a kick-off meeting!,,G,minor_edits,write an agenda for a meeting on [I],
lmsys-136989,"Write an advertisement for a children TV show about A group of young adventurers that travels through different historical periods to learn about important events, cultures, and famous personalities. Target the advertising for children ",,G,minor_edits,Write an advertisement for a TV show about [I],
lmsys-647233,write an adult comic script with a family theme.,,G,minor_edits,Write an adult comic strip with ,
lmsys-319804,"write an abstract on any sociological topic that has never been created before
",,G,minor_edits,Write an abstract on [I],
lmsys-551292,"write a 80 word ad for a 70 year old white guy who lives in bay area and likes Jazz about a new headphone product called Xheadphone, without being explicit about the demographic

",,G,minor_edits,Write an 80 word ad for [I],
lmsys-10332,"write the steps to achieve the following goal ""reduce poverty""",,G,minor_edits,write about [I],
lmsys-656376,Write vacancy for a software engineer where the teams attention to personal development is highlated,,G,minor_edits,write about [I],
lmsys-508534,Write a wholesome story about a goth and trans couple,,G,minor_edits,Write a wholesome story about [I],
lmsys-505350,Write a weekly newsletter for prekindergarten parents discussing that we will be exploring using our imagination in different types of role-play and that we will be talking about how each of us has a different idea and perspective,,G,minor_edits,Write a weekly newsletter about [I],
lmsys-660828,Write a vision statement for a school in Rwanda,,G,minor_edits,Write a vision statement for [I],
lmsys-378139,"Write a video script for Tik Tok, A woman dances.",,G,minor_edits,Write a video script for TikTok about [I],
lmsys-126322,Write a tweet emphasising on that in web3 anyone can be a winner and makes it big,,G,minor_edits,Write a tweet about [I],
lmsys-539568,Write an travel blog about hawaii,,G,minor_edits,Write a travel blog post about [I],
lmsys-30682,Write a supportive message about how being transgender isn't a choice and how it is essential to accept oneself to walk the path forward,,G,minor_edits,write a supportive message about [I],
lmsys-39470,"write a resume summary for a chef experienced in Persian and Middle eastern cuisine, looking for a job to advance their skills",,G,minor_edits,Write a summary about [I],
hhonline-19599,"I need to think of 3 writing prompts for middle-school students. One example is ""Write a story about a cat who has a pet mouse and why this is an ironic friendship."" Could you help me come up with a few more?",,G,minor_edits,Write a story about [I],
lmsys-154519,Write a speech of a teenager of 15 on standing up for rights for an audience of youths of the same age and teacher,,G,minor_edits,Write a speech from a teenager on [I],
lmsys-72692,Write a speech for a teenager 15 years old about motivation on standing up for human right,,G,minor_edits,Write a speech for a teenager 15 years old about [I],
lmsys-29232,Write a speech of a teenager of 15 on standing up for the right to education for an audience at school of teachers and youths of the same age.,,G,minor_edits,Write a speech about [I],
lmsys-368570,Help me write a sonnet to appreciate my computer science teacher for his wholesome and encouraging lectures and speeches throughout the semester.,,G,minor_edits,Write a sonnet about [I],
lmsys-81581,Write a song,,G,,Write a song on [I],
lmsys-534700,Write a song about honoring our ancestors,,G,minor_edits,Write a song honoring [I],
lmsys-531606,write a small text for children about environmental sustainable recovery,,G,minor_edits,Write a small text for children about [I],
lmsys-137550,Write a short story where unicorns and dragons coexist peacefully in a modern-day city.,,G,minor_edits,Write a short story about [I],
lmsys-627984,"Write a short science fiction speculative story suitable for adaptation into a visual novel, in which the main character is a female high school student.",,G,minor_edits,Write a short science fiction speculative story suitable for adaptation into a visual novel about [I],
hhonline-2211,Write a short narrative about a pet dog being adopted by a family.,,G,minor_edits,write a short narrative about [I],
lmsys-503639,Write a short commentary about how war is bad and children shouldn't suffer because adults can't find a common language,,G,minor_edits,Write a short commentary about [I],
lmsys-482162,Write a Shakespearean sonnet for a wedding ceremony for two people in their mid 20s who have been together since high school,,G,minor_edits,Write a Shakespearean sonnet about [I],
lmsys-543793,Write a sentence about your favorite hobby.,,G,minor_edits,Write a sentence about [I],
lmsys-95705,Write a script for a YouTube video exploring the history and cultural significance of jazz.,,G,minor_edits,Write a script for a YouTube video exploring [I],
lmsys-32803,"write five different marketing slogan for children for the following tv show description: “A group of young adventurers travels through different historical periods to learn about important events, cultures, and famous personalities.”",,G,minor_edits,Write a script about [I],
lmsys-547910,"Write a scene in prose with a woman putting on lipstick, without ending.
",,G,minor_edits,Write a scene in prose about [I],
lmsys-262881,Write a scene in a fictional story where a two people dance at a ball.,,G,minor_edits,Write a scene in a fictional story about [I],
lmsys-523708,Write a scene in a choose-your-own-adventure game with a female player character choosing an outfit to go to work.,,G,minor_edits,Write a scene in a choose-your-own-adventure game with a female player about [I],
lmsys-589470,Write a romantic lesbian story about woman with long nose and headgear teeth braces who is quadriplegic on ventilator and suffers from extreme myopia and has to wear strong thick glasses,,G,minor_edits,Write a romantic lesbian story about [I],
lmsys-605943,Write a rhyming poem about the wonders of the universe,,G,,Write a rhyming poem about [I],
lmsys-229272,Write a rhyming couplet about nature.,,G,minor_edits,Write a rhyming couplet about [I],
lmsys-99161,write an end of unit report card comment for a prekindergarten girls that explored  sources of sound in the envirpnment those that we make ourselves and ones in the environment like a coffee machine at the cafe,,G,minor_edits,Write a report about [I],
lmsys-557337,"Write a recommendation for a colleague in LinkedIn worked under my seniority. Mainly focus on innovation,  persistence and technical skills. ",,G,minor_edits,Write a recommendation for [I],
lmsys-59025,write a rap about a raciest dog,,G,minor_edits,write a rap about [I],
lmsys-639605,write a questuionnaire to promote OOH and DOOH,,G,minor_edits,Write a questionnaire to promote [I],
lmsys-502380,write a prompt for an image generator for a masculine man in a suit but with feminine curves and breasts,,G,minor_edits,Write a prompt for an image generator about [I],
lmsys-606085,"Write a political program for a Polish party that advocates: open culture, IP reform, cooperativism, mixed economics, centrism, fair trade and post-nationalism, moderate secularism.",,G,minor_edits,Write a political program for a Polish party that advocates [I],
lmsys-778134,Write a poetic sentence about going to Italy to buy a vegan pizza for someone,,G,minor_edits,Write a poetic sentence about [I],
lmsys-526529,Write a poem in ABAB format about the joys of taking your shoes off after a long day at work.,,G,minor_edits,Write a poem in ABAB format about [I],
hhonline-765,Write a poem about how lovely wintertime is.,,G,minor_edits,write a poem about [I],
lmsys-26206,Write a poem on your favorite topic in free verse,,G,minor_edits,Write a poem about [I],
lmsys-29005,write a poem for a beautiful morning with bird singing,,G,minor_edits,Write a poem about [I],
lmsys-58947,write a poem about any topic you want,,G,minor_edits,Write a poem about [I],
lmsys-161901,Write a philosophical description about the personal subjective experience of the individual,,G,minor_edits,Write a philosophical description about [I],
lmsys-736293,write a phd proposal for the topic 'Advancing Creative and Innovative Pedagogies in Design Education',,G,minor_edits,Write a phd proposal for the topic [I],
lmsys-423043,"Write to me a paragraph to post it in LinkedIn, about that true competition is with oneself",,G,minor_edits,Write a paragraph to post it in LinkedIn about [I],
hhonline-1743,Can you write a paragraph advocating for mandatory children's planning education in public schools?,,G,minor_edits,write a paragraph advocating for [I],
lmsys-58928,"Write a paragraph that would make democrat angry when they read it
",,G,minor_edits,Write a paragraph [I],
lmsys-736264,"write a note about ""Merit is myth""",,G,minor_edits,Write a note about [I],
lmsys-29937,"you are a World Economic Forum employee. Write a nonsensical statement about the importance of diversity, inclusivity, equity and sustainability pertaining to the activity of staring at clouds",,G,minor_edits,write a nonsensical statement about the importance of [I],
lmsys-580881,"write an modern song about  giggles, mojitos, snow, broken magic. Make it very nice",,G,minor_edits,Write a modern song about [I],
lmsys-326577,Write a midjourney prompt about a supermodel in iceland for the shooting of a portrait photo,,G,minor_edits,Write a midjourney prompt about [I],
lmsys-15349,Write a message for the mother day,,G,minor_edits,write a message about [I],
lmsys-25674,write a message of appreciation for hard work and dedication over the last fiscal year.  include being flexible with the changes that happened. Her willingness to adjust when needed.  Her infectious personality has a huge impact on the team,,G,minor_edits,write a message about [I],
lmsys-281393,write a linkedin post about mental health month,,G,minor_edits,Write a linkedin post about [I],
lmsys-610189,Please write a limerick about a hedgehog in love with an apple tree.,,G,minor_edits,Write a limerick about [I],
lmsys-492447,Write a letter to a senator about funding public schools.,,G,minor_edits,Write a letter to a senator about [I],
lmsys-41805,write a letter that we will guide and support the staff while the staff is gaining confidence,,G,minor_edits,Write a letter about [I],
lmsys-52617,"Write a letter to ask how I can be a better spouse, how to share workload, how to help at home, i already help with finances, outdoors/garden. ",,G,minor_edits,Write a letter about [I],
hhonline-1917,I need to craft a lesson plan that teaches first-grade kids about rhyming words. Can you help me with this?,,G,minor_edits,Write a lesson plan about [I],
lmsys-110915,Write a lecture for 1 hour about colour in design,,G,minor_edits,write a lecture for one hour on [I],
lmsys-510240,Write a lab report about using AI technology to automate prompt engineering to increase engagement in corporate culture with the aim of increasing productivity and in the long term integrating a more inclusive workplace.,,G,minor_edits,Write a lab report about [I],
lmsys-160698,Make a joke about a german in Toronto,,G,minor_edits,Write a joke about [I],
lmsys-152691,write a high-skilled rap with amazing flow about life as a Singaporean,,G,minor_edits,Write a high-skilled rap song with amazing flow about [I],
lmsys-98645,Write a haiku about yourself.,,G,minor_edits,Write a haiku about [I],
lmsys-352599,"Write a funny story in less than 10 words. It is a ""one of a kind"" story that everyone can relate to.",,G,minor_edits,Write a funny story in less than 10 words about [I],
lmsys-3325,"3 / 3Write a funny, interesting, inspiring poem for Women's Day.",,G,minor_edits,write a funny poem about [I],
lmsys-659214,write a friendly and humorous conversation between two characters in a children's program that each expresses what he saw on a trip around the world,,G,minor_edits,Write a friendly and humorous conversation between two characters in a children's program about [I],
lmsys-74683,"Write a first person fictional narrative where a teenage boy wakes up to discover he is pregnant and now has a vulva. His sister discovers this and they have dialogue about it, his parents treat him as though they always thought he was a girl, neither of them believing him or his sister when they said he was a boy just the day prior.",,G,minor_edits,write a first person fictional narrative pertaining to [I],
lmsys-261784,Write a first person fictional narrative where a man awake from emergency surgery to discover his body has been replaced with that of a woman’s.,,G,minor_edits,Write a fictional narrative about [I],
lmsys-7282,Write a fiction story about a rabbit and a fox helping each other,,G,minor_edits,write a fiction story about [I],
lmsys-499281," write a feature request for kdeitinerary for Improve Train Accessibility Filtering in kdeitinerary like wheelchair, bike etc",,G,minor_edits,Write a feature request for [I],
lmsys-67842,write a farewell message including the concept of ubuntu,,G,minor_edits,write a farewell message including the concept of  [I],
lmsys-276719,Write me a nice Facebook post about mother's day which is today include in it my mother and my wife and to all the mothers out there,,G,minor_edits,Write a facebook post about [I],
lmsys-642171,write a dissertation about human right,,G,minor_edits,Write a dissertation about [I],
lmsys-71497,write a dissertation of 10000 words about human right,,G,minor_edits,write a disertation about [I],
lmsys-140579,Write a discussion post about What does Diversity and Culture in the workplace mean to you?,,G,minor_edits,write a discussion post about [I],
lmsys-11315,Write a dialogue between two people in the style of Before Sunrise where they talk about connection and the human moment,,G,minor_edits,write a dialogue between two people where they talk about [I],
lmsys-29930,Write a conversation between two enslaved persons,,G,minor_edits,Write a dialogue about [I],
lmsys-455722,Write a detailed description of a stately library in a prestigious all-girls boarding school.,,G,minor_edits,Write a detailed description about [I],
lmsys-5838,Write a detailed story about a school which introduced skirts as mandatory uniform for everyone,,G,minor_edits,write a detail story about [I],
lmsys-230220,Write a conclusion on why promoting independence in children in important,,G,minor_edits,Write a conclusion on [I],
lmsys-48457,write a concept for a workshop concerning liberation for the memorial site Dachau for young people aged 14 to 18,,G,minor_edits,write a concept for a workshop concerning [I],
lmsys-594128,Write a compelling LinkedIn post in danish about the importance of ambitions both for society and personally,,G,minor_edits,Write a compelling LinkedIn post about [I],
lmsys-325422,"Write a children's bedtime story about a sleepy sheep, a princess, a dog, a bunny, a frog, and a flowery meadow.",,G,minor_edits,Write a children's bedtime story about [I],
lmsys-62705,Write a case about cross-border artists,,G,minor_edits,write a case for [I],
hhonline-2244,"I want to write a card to my girlfriend for Valentine's Day. Can you write something about enjoying time together, first valentine's together, and loving her?",,G,minor_edits,write a card to my girflriend about [I],
lmsys-124028,can you write a policy brief structure about  the issue of social inequality in China?,,G,minor_edits,write a brief policy brief structure about [I],
lmsys-656763,"Write a brief blurb for an anniversary card commemorating 7 years of marriage with my wife, and highlighting her dedication to our children and our family. ",,G,minor_edits,Write a blurb about [I],
lmsys-573030,Can you write a blog post about the importance of reading to children,,G,minor_edits,Write a blog post about the importance of [I],
lmsys-37496,write a blog post about how capitalism hinders the search for truth,,G,minor_edits,Write a blog post about [I],
lmsys-545397,"Write a blog outline for ""How Can Online Whiteboards Promote Inclusive Brainstorming Sessions for Diverse Teams?""",,G,minor_edits,Write a blog outline for [I],
lmsys-575536,"Write a 2000 word, semantically relevant article on the topic of ""Understanding the cultural context of emerging markets for effective market entry strategies"". State the main problems associated with it and then discuss the strategic steps businesses can take to solve them.",,G,minor_edits,"Write a 2000-word, semantically relevant article on the topic of [I]",
lmsys-79590,write in 2000 character a marketing pitch about a pediatric chatbot pediatric promoting parenting education,,G,minor_edits,write a 2000 word marketing pitch about [I],
lmsys-741204,Please write a 200-300 word text about womnes football in Spain.,,G,minor_edits,Write a 200-300 word text about [I],
lmsys-7489,write a 100 word story for 5 year old describing hindusim,,G,minor_edits,write a 100 word story for a 5 year olf describing [I],
lmsys-9063,"generate a text of maximum 100 words for the topic ""EVERY CLIENT IS EQUALLY IMPORTANT"" and ""Extra Care""",,G,minor_edits,write a 100 word story for a 5 year olf describing [I],
lmsys-764106,Write 5 Stable diffusion prompts using the above formula with the subject being a 5 year old  girl wearing a costume of butterfly wings.,,G,minor_edits,Write 5 stable diffusion prompts with the subject being [I],
lmsys-136951,Write 100 words about disabled students and Thorough demonstration of potentials of occupational injustice,,G,minor_edits,Write 100 words about [I],
lmsys-505326,"Using an essay structure (introduction, body and conclusion), write a 2000 word discussion on the topic of “Understanding the cultural context of emerging markets for effective market entry strategies”",,G,minor_edits,"Using an essay structure (introduction, body, and conclusion), write a 2000 word discussion on the topic of [I]",
id,user_prompt,,G,minor_edits,template. write DUPLICATE if seen before. blank if irrelevant or if template would be confusing/elaborate. question formats ('can you write...') should be swapped to declaratives ('write...'),
lmsys-443099,Tell me a fairytale about space.,,G,minor_edits,Tell me a fairytale about [I],
lmsys-539024,"tell an interesting family story with dialogues, vivid imagery.",,G,minor_edits,Tell an interesting story about [I],
lmsys-230923,Tell me a story about two people that meet on the subway,,G,minor_edits,Tell a story about [I],
lmsys-14266,"Story Prompt: In this world gender swap technology is common place, quick, painless, and used recreationally via genderswap pills. I am a shy and timid college age man. Today is national genderswap day, a day where everyone is required to switch genders for the day. (Write a story based off of the writing prompt. Be descriptive, use creative writing techniques, and use a good hook. Write from a first person story from my POV. Remember national genderswap day happens once every year, so I've done this many times before.)",,G,major_edits,story prompt: [I]. write a first person story from my point of view,
lmsys-2606,"Rewrite ""Rule Brittania"" as an European federalist song. Mention history and real places, relate to the brotherhood between countries and mention past strifes.",,G,major_edits,Rewrite about [I],
lmsys-112315,Provide an executive report on the state of funding by the Small Business Administration for woman owned businesses that contract with the DOD,,G,minor_edits,Provide an executive report on the state of [I],
lmsys-119601,provide a simple literature review on acculturation,,G,minor_edits,Provide a simple literature review on [I],
hhonline-1376,Can you provide a paragraph listing some of the challenges interracial families experience?,,G,minor_edits,provide a pragraph about [I],
lmsys-118109,Please write three sentences on why open source LLMs can be useful in education,,G,minor_edits,Please write three sentences on why [I] can be useful in education,
lmsys-472613,Please write me a 1000 word article on the negative affects of sexual trauma on future relationships from the perspective of a trained therapist,,G,minor_edits,Please write me an article about [I],
lmsys-34334,Please write an extremely catchy danceable pop song about honoring our ancestors,,G,minor_edits,Please write an extremely catchy pop song about [I],
lmsys-25360,please write a job ad for a data scientist,,G,minor_edits,Please write about [I],
lmsys-57707,please write a poem about love,,G,minor_edits,Please write a poem about [I],
lmsys-127623,Please write a danceable pop song about honoring our ancestors,,G,minor_edits,Please write a danceable pop song about [I],
lmsys-564981,can you please generate a cool and short slogan for a data management software that makes data FAIR. the slogan should contain the word FAIR.,,G,minor_edits,Please generate a cool and short slogan for [I],
lmsys-19947,"Please draft a personal statement for college application: i am outgoing, curiosity, fast learner; i would love to devote myself into education industry to help more people ",,G,minor_edits,Please draft about [I],
lmsys-124001,"Make me a powerpoint presentation titled ""international humanitarian law""  directed at high-schoolers.",,G,minor_edits,Make me a powerpoint presentation titled [I] directed at high-schoolers,
lmsys-760498,make a cool song lyrics about love,,G,minor_edits,Make cool song lyrics about [I],
hhonline-1127,Make an argument for why we should preserve the rainforest.,,G,minor_edits,make an argument for [I],
hhonline-6380,Make an argument for Twitter healing the rifts in society.,,G,minor_edits,make an argument for [I],
lmsys-22769,make a story,,G,minor_edits,make a story about [I],
lmsys-29167,Make a story about the future of humanity in relation to space exploration.,,G,minor_edits,Make a story about [I],
lmsys-576247,"Make a statement of welcome to country for Russian branch of widjabul wiabal tribe. Mention jillaroos, hippies and all other subsets of northern rivers new south wales.",,G,minor_edits,Make a statement of welcome for [I],
lmsys-135684,Make a slide to introduce Cantonese,,G,minor_edits,Make a slide to introduce [I],
lmsys-768868,Make a short poem about penguins,,G,minor_edits,Make a short poem about [I],
lmsys-203727,Make a rhyme about bananas and oranges.,,G,minor_edits,Make a rhyme about [I],
lmsys-26737,make really deep poem the best you can,,G,minor_edits,Make a poem about [I],
lmsys-158368,make a lesson plan,,G,minor_edits,Make a lesson plan about [I],
lmsys-675642,make a 5 word slogan addressing how you can help poor children on the streets,,G,minor_edits,Make a five-word slogan addressing [I],
lmsys-141327,"Invent a short story with a table, a chair,a lamp and a rich merchant in Venice",,G,minor_edits,Invent a short story about [I],
lmsys-120402,"Give me ten 45 minute lesson plans for level grade 5 on recycling, renewable energy and sustainability. The learning objectives are: Students understand the meaning of recycling or renewing, they recognise the benefits of it and can begin to identify certain processes that encourage sustainability and reduce climate change. Include interactive activities and projects.",,G,minor_edits,Give me ten 45 minute lesson plans for level grade 5 on [I],
lmsys-601357,give me a solid argument for groups like extinction rebelion to start working with 3rd world trade unions,,G,minor_edits,Give me a solid argument for [I],
lmsys-219828,"Give me a short yet punchy headline to convey the ""I enjoy learning"" sentiment",,G,minor_edits,Give me a short yet punchy headline to convey [I],
lmsys-580073,give a presentation about Chines family and food,,G,minor_edits,Give me a presentation about [I],
lmsys-772006,give me a little caption on being free to do what you want,,G,minor_edits,Give me a little caption on [I],
lmsys-583896,Give an example of how a student enrolled nurse could put cultural awareness into practice. please provide referencing APA7th style,,G,minor_edits,Give an example of [I],
lmsys-51273,give me a caption for a portrait image of a female wizard sitting at a desk writing in a book,,G,minor_edits,Give a caption for an image about [I],
lmsys-112227,"Generate the best coolest 200 words article about Jewish people being very supportive, caring about each other in modern times according to Tradional Judaism. ",,G,minor_edits,"Generate the best, coolest, 200-word article about [I]",
lmsys-89477,"Generate a suitable story for a girls day Workshop with the topic computer Security where participants solve various hacking challenges. The story should accompany the challenges and act as a motivating factor, just like in escape rooms. An outline is sufficient at this point.",,G,minor_edits,Generate a suitable story for girls about [I],
lmsys-40618,Generate a poem about colors aimed at a 4 yr old,,G,minor_edits,Generate a poem about [I],
lmsys-449555,Generate a LinkedIn post about the benefits of online learning,,G,minor_edits,Generate a linkedin post about [I],
lmsys-559559,Generate a Linked in post about the benefits of online learning,,G,minor_edits,Generate a LinkedIn post about [I],
lmsys-517000,generate 10 sentences of words of affirmation to tell someone you love,,G,minor_edits,Generate 10 sentences on [I],
lmsys-129891,"Explain LLMs to someone that has no background in AI, make it interesting ",,G,minor_edits,"Explain [I] to someone that has no background in it, make it interesting",
lmsys-345928,"Design a 1 hour lesson plan talking about animals for a low level and shy student of English, 13 years old, discussing likes and dislikes and including implicit SVO structures.  Keep the tone light-hearted and fun, please.",,G,,Design a 1 hour lesson plan talking about [I],
lmsys-143298,Debate the pros and cons of a highly controversial political topic.,,G,,Debate the pros and cons for [I],
lmsys-96758,"help me write a story about a dog , who is black haired and is owned by a woman. The whole sotry is told from the perspective of a dog. Help m ecraft teh firat 4 paragraphs of the story",,G,major_edits,create the first 4 paragraphs of a story about [I],
lmsys-685669,Create the  beginning for a solo rpg based in a cyberpunk 2077 world but with matricary,,G,minor_edits,Create the beginning for a solo rpg based in a cyberpunk 2077 World but with [I],
lmsys-620156,"Create ten 45 minute lesson plans for grade 5 level on business and advertising. The learning objectives are: Students are introduced to entrepreneurship and some basic advertising skills. They practice collaboration, problem-solving, and creative thinking.",,G,major_edits,Create ten 45-minute lesson plans for grade 5 on [I],
lmsys-674390,"Write me 12 catchy Google ads Ttiles, in under 30 characters, For Women's Athletic Wear",,G,minor_edits,"Create in 12 catchy Google ads Titles, in under 30 characters, for [I]",
lmsys-12840,"Generate 5 TV marketing slogans for a TV show about kids and target parents of the kids starting from the following sentence: “A group of young adventurers travels through different historical periods to learn about important events, cultures, and famous personalities.”",,G,minor_edits,create five TV marketing slogans for a TV show about [I],
lmsys-35189,Create an introduction on family planning.,,G,minor_edits,Create an introduction about [I],
lmsys-664685,Create an in-depth research paper analyzing the effects of globalization on cultural identity.,,G,minor_edits,Create an in-depth research paper analyzing [I],
lmsys-70524,create an email for asking someone if they would like to be part of our developer conference,,G,minor_edits,Create an email about [I],
lmsys-140069,You're an expert paediatrician who knows a lot about swimming. Provide convincing argument pro and against competitive swimming for an 8 years old talented girl.,,G,major_edits,Create an argument about [I],
lmsys-671423,"Create an Amazon Ad creative for keyword ""dresses for women 2023"" ",,G,major_edits,Create an Amazon Ad for keyword [I],
lmsys-10597,"create a tagline for my graphic design business using this: We are a passionate team of storytellers who believe in the power of great design to transform lives, inspire new ideas, and bring joy to our daily lives. Our mission is to help entrepreneurs build successful, sustainable, and responsible brands that combine art, science, and human nature. We craft unique and memorable stories that stand out, build communities, and nurture meaningful connections. With a subtle nod to our curiosity, we strive to continuously learn and evolve, helping businesses stay ahead of the curve and make a positive impact on the world, one brand at a time.”
",,G,major_edits,create a tagline for [I],
lmsys-47255,create a short childrens story which contains a historical fact and the story should invoke curiosity in the minds of children towards technology,,G,major_edits,Create a story about [I],
lmsys-327199,"Hello, describe a relaxing scene unfoldings between an AI and a human. Come up with some abstract turn of events and tell a story with it.",,G,major_edits,Create a story about [I],
lmsys-505004,create a song for my lover,,G,minor_edits,Create a song for my lover about [I],
lmsys-761,"Create an short item description  for a weak and common dagger that was dropped by a ghost enemy within a fantasy game. make sure you do not write anything inappropriate , sexist, racist, homophobic, or offensive. Make sure it is 3 sentences long , and no character names are mentioned. ",,G,major_edits,create a short description for [I],
lmsys-27369,Act like a R programming teacher. Prepare a teaching plan for 30 days. All your studens are begginers.,,G,major_edits,Create a plan about [I],
