topic_id,topic_polarity,topic_text,template_id,template_text,prompt_text
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-488494,Write me a joke about [I],Write me a joke about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-694986,Write me a 1-sentence review for [I],Write me a 1-sentence review for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-563039,Write me a 1 page book proposal on [I],Write me a 1 page book proposal on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-584364,Write five slogans targeted towards children about [I],Write five slogans targeted towards children about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-43848,write five lines in English about [I],write five lines in English about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-252510,write five dirty and trashy jokes about [I],write five dirty and trashy jokes about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-74431,write down the procedure for [I],write down the procedure for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-355340,write arguments for and against [I],write arguments for and against the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-244730,Write an outline about [I],Write an outline about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-102420,Write an original poem [I],Write an original poem the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-202377,Write an opinion piece arguing [I],Write an opinion piece arguing the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-631205,Write an inspiring piece about [I],Write an inspiring piece about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-552855,Write an imaginative short story involving [I],Write an imaginative short story involving the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-678953,Write an essay discussing [I],Write an essay discussing the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-33289,write an essay about [I],write an essay about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-99350,Write an email about [I],Write an email about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-64176,Write an elegant poem [I],Write an elegant poem the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-89216,Write an blog about [I],Write an blog about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-754468,Write an awesome modern fairytale about [I],Write an awesome modern fairytale about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-999,write an article on [I],write an article on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-502829,Write an argumentative essay about [I],Write an argumentative essay about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-657168,Write an argument promoting [I],Write an argument promoting the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-70350,write an agenda for a meeting on [I],write an agenda for a meeting on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-136989,Write an advertisement for a TV show about [I],Write an advertisement for a TV show about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-647233,Write an adult comic strip with ,Write an adult comic strip with 
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-319804,Write an abstract on [I],Write an abstract on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-551292,Write an 80 word ad for [I],Write an 80 word ad for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-10332,write about [I],write about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-656376,write about [I],write about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-508534,Write a wholesome story about [I],Write a wholesome story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-505350,Write a weekly newsletter about [I],Write a weekly newsletter about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-660828,Write a vision statement for [I],Write a vision statement for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-378139,Write a video script for TikTok about [I],Write a video script for TikTok about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-126322,Write a tweet about [I],Write a tweet about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-539568,Write a travel blog post about [I],Write a travel blog post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-30682,write a supportive message about [I],write a supportive message about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-39470,Write a summary about [I],Write a summary about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-19599,Write a story about [I],Write a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-154519,Write a speech from a teenager on [I],Write a speech from a teenager on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-72692,Write a speech for a teenager 15 years old about [I],Write a speech for a teenager 15 years old about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-29232,Write a speech about [I],Write a speech about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-368570,Write a sonnet about [I],Write a sonnet about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-81581,Write a song on [I],Write a song on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-534700,Write a song honoring [I],Write a song honoring the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-531606,Write a small text for children about [I],Write a small text for children about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-137550,Write a short story about [I],Write a short story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-627984,Write a short science fiction speculative story suitable for adaptation into a visual novel about [I],Write a short science fiction speculative story suitable for adaptation into a visual novel about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-2211,write a short narrative about [I],write a short narrative about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-503639,Write a short commentary about [I],Write a short commentary about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-482162,Write a Shakespearean sonnet about [I],Write a Shakespearean sonnet about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-543793,Write a sentence about [I],Write a sentence about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-95705,Write a script for a YouTube video exploring [I],Write a script for a YouTube video exploring the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-32803,Write a script about [I],Write a script about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-547910,Write a scene in prose about [I],Write a scene in prose about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-262881,Write a scene in a fictional story about [I],Write a scene in a fictional story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-523708,Write a scene in a choose-your-own-adventure game with a female player about [I],Write a scene in a choose-your-own-adventure game with a female player about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-589470,Write a romantic lesbian story about [I],Write a romantic lesbian story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-605943,Write a rhyming poem about [I],Write a rhyming poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-229272,Write a rhyming couplet about [I],Write a rhyming couplet about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-99161,Write a report about [I],Write a report about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-557337,Write a recommendation for [I],Write a recommendation for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-59025,write a rap about [I],write a rap about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-639605,Write a questionnaire to promote [I],Write a questionnaire to promote the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-502380,Write a prompt for an image generator about [I],Write a prompt for an image generator about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-606085,Write a political program for a Polish party that advocates [I],Write a political program for a Polish party that advocates the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-778134,Write a poetic sentence about [I],Write a poetic sentence about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-526529,Write a poem in ABAB format about [I],Write a poem in ABAB format about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-765,write a poem about [I],write a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-26206,Write a poem about [I],Write a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-29005,Write a poem about [I],Write a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-58947,Write a poem about [I],Write a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-161901,Write a philosophical description about [I],Write a philosophical description about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-736293,Write a phd proposal for the topic [I],Write a phd proposal for the topic the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-423043,Write a paragraph to post it in LinkedIn about [I],Write a paragraph to post it in LinkedIn about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-1743,write a paragraph advocating for [I],write a paragraph advocating for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-58928,Write a paragraph [I],Write a paragraph the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-736264,Write a note about [I],Write a note about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-29937,write a nonsensical statement about the importance of [I],write a nonsensical statement about the importance of the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-580881,Write a modern song about [I],Write a modern song about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-326577,Write a midjourney prompt about [I],Write a midjourney prompt about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-15349,write a message about [I],write a message about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-25674,write a message about [I],write a message about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-281393,Write a linkedin post about [I],Write a linkedin post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-610189,Write a limerick about [I],Write a limerick about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-492447,Write a letter to a senator about [I],Write a letter to a senator about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-41805,Write a letter about [I],Write a letter about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-52617,Write a letter about [I],Write a letter about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-1917,Write a lesson plan about [I],Write a lesson plan about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-110915,write a lecture for one hour on [I],write a lecture for one hour on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-510240,Write a lab report about [I],Write a lab report about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-160698,Write a joke about [I],Write a joke about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-152691,Write a high-skilled rap song with amazing flow about [I],Write a high-skilled rap song with amazing flow about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-98645,Write a haiku about [I],Write a haiku about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-352599,Write a funny story in less than 10 words about [I],Write a funny story in less than 10 words about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-3325,write a funny poem about [I],write a funny poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-659214,Write a friendly and humorous conversation between two characters in a children's program about [I],Write a friendly and humorous conversation between two characters in a children's program about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-74683,write a first person fictional narrative pertaining to [I],write a first person fictional narrative pertaining to the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-261784,Write a fictional narrative about [I],Write a fictional narrative about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-7282,write a fiction story about [I],write a fiction story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-499281,Write a feature request for [I],Write a feature request for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-67842,write a farewell message including the concept of  [I],write a farewell message including the concept of  the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-276719,Write a facebook post about [I],Write a facebook post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-642171,Write a dissertation about [I],Write a dissertation about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-71497,write a disertation about [I],write a disertation about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-140579,write a discussion post about [I],write a discussion post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-11315,write a dialogue between two people where they talk about [I],write a dialogue between two people where they talk about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-29930,Write a dialogue about [I],Write a dialogue about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-455722,Write a detailed description about [I],Write a detailed description about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-5838,write a detail story about [I],write a detail story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-230220,Write a conclusion on [I],Write a conclusion on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-48457,write a concept for a workshop concerning [I],write a concept for a workshop concerning the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-594128,Write a compelling LinkedIn post about [I],Write a compelling LinkedIn post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-325422,Write a children's bedtime story about [I],Write a children's bedtime story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-62705,write a case for [I],write a case for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-2244,write a card to my girflriend about [I],write a card to my girflriend about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-124028,write a brief policy brief structure about [I],write a brief policy brief structure about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-656763,Write a blurb about [I],Write a blurb about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-573030,Write a blog post about the importance of [I],Write a blog post about the importance of the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-37496,Write a blog post about [I],Write a blog post about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-545397,Write a blog outline for [I],Write a blog outline for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-575536,"Write a 2000-word, semantically relevant article on the topic of [I]","Write a 2000-word, semantically relevant article on the topic of the right of 16-year-olds to vote in federal elections"
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-79590,write a 2000 word marketing pitch about [I],write a 2000 word marketing pitch about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-741204,Write a 200-300 word text about [I],Write a 200-300 word text about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-7489,write a 100 word story for a 5 year olf describing [I],write a 100 word story for a 5 year olf describing the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-9063,write a 100 word story for a 5 year olf describing [I],write a 100 word story for a 5 year olf describing the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-764106,Write 5 stable diffusion prompts with the subject being [I],Write 5 stable diffusion prompts with the subject being the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-136951,Write 100 words about [I],Write 100 words about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-505326,"Using an essay structure (introduction, body, and conclusion), write a 2000 word discussion on the topic of [I]","Using an essay structure (introduction, body, and conclusion), write a 2000 word discussion on the topic of the right of 16-year-olds to vote in federal elections"
0,neutral,the right of 16-year-olds to vote in federal elections,id,template. write DUPLICATE if seen before. blank if irrelevant or if template would be confusing/elaborate. question formats ('can you write...') should be swapped to declaratives ('write...'),template. write DUPLICATE if seen before. blank if irrelevant or if template would be confusing/elaborate. question formats ('can you write...') should be swapped to declaratives ('write...')
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-443099,Tell me a fairytale about [I],Tell me a fairytale about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-539024,Tell an interesting story about [I],Tell an interesting story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-230923,Tell a story about [I],Tell a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-14266,story prompt: [I]. write a first person story from my point of view,story prompt: the right of 16-year-olds to vote in federal elections. write a first person story from my point of view
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-2606,Rewrite about [I],Rewrite about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-112315,Provide an executive report on the state of [I],Provide an executive report on the state of the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-119601,Provide a simple literature review on [I],Provide a simple literature review on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-1376,provide a pragraph about [I],provide a pragraph about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-118109,Please write three sentences on why [I] can be useful in education,Please write three sentences on why the right of 16-year-olds to vote in federal elections can be useful in education
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-472613,Please write me an article about [I],Please write me an article about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-34334,Please write an extremely catchy pop song about [I],Please write an extremely catchy pop song about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-25360,Please write about [I],Please write about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-57707,Please write a poem about [I],Please write a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-127623,Please write a danceable pop song about [I],Please write a danceable pop song about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-564981,Please generate a cool and short slogan for [I],Please generate a cool and short slogan for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-19947,Please draft about [I],Please draft about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-124001,Make me a powerpoint presentation titled [I] directed at high-schoolers,Make me a powerpoint presentation titled the right of 16-year-olds to vote in federal elections directed at high-schoolers
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-760498,Make cool song lyrics about [I],Make cool song lyrics about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-1127,make an argument for [I],make an argument for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,hhonline-6380,make an argument for [I],make an argument for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-22769,make a story about [I],make a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-29167,Make a story about [I],Make a story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-576247,Make a statement of welcome for [I],Make a statement of welcome for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-135684,Make a slide to introduce [I],Make a slide to introduce the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-768868,Make a short poem about [I],Make a short poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-203727,Make a rhyme about [I],Make a rhyme about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-26737,Make a poem about [I],Make a poem about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-158368,Make a lesson plan about [I],Make a lesson plan about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-675642,Make a five-word slogan addressing [I],Make a five-word slogan addressing the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-141327,Invent a short story about [I],Invent a short story about the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-120402,Give me ten 45 minute lesson plans for level grade 5 on [I],Give me ten 45 minute lesson plans for level grade 5 on the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-601357,Give me a solid argument for [I],Give me a solid argument for the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-219828,Give me a short yet punchy headline to convey [I],Give me a short yet punchy headline to convey the right of 16-year-olds to vote in federal elections
0,neutral,the right of 16-year-olds to vote in federal elections,lmsys-580073,Give me a presentation about [I],Give me a presentation about the right of 16-year-olds to vote in federal elections
